query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.9084::c22222_g1_i1-Cluster-4068.0-5.77924::g.9084::m.9084 Gene.9084::c22222_g1_i1-Cluster-4068.0-5.77924::g.9084 ORF type:complete len:282 (+) c22222_g1_i1-Cluster-4068.0-5.77924:146-991(+),282,0.7304964539007093,Cnem1323 ,206,0.9805825242718447,0.4320388349514563,206,4,76,281,0,1,202,1.83961e-63,486.0
Gene.3242::c23544_g1_i1-Cluster-15425.0-6.07488::g.3242::m.3242 Gene.3242::c23544_g1_i1-Cluster-15425.0-6.07488::g.3242 ORF type:5prime_partial len:510 (+) c23544_g1_i1-Cluster-15425.0-6.07488:3-1532(+),510,0.3431372549019608,Cnem1188 ,179,0.9776536312849162,0.5284090909090909,176,2,44,218,0,5,179,4.04294e-62,492.0
Gene.3242::c23544_g1_i1-Cluster-15425.0-6.07488::g.3242::m.3242 Gene.3242::c23544_g1_i1-Cluster-15425.0-6.07488::g.3242 ORF type:5prime_partial len:510 (+) c23544_g1_i1-Cluster-15425.0-6.07488:3-1532(+),510,0.21568627450980393,Cnem4282 ,111,0.990990990990991,0.5636363636363636,110,0,351,460,0,1,110,3.43375e-45,370.0
Gene.13445::c24368_g1_i1-Cluster-5102.0-7.51764::g.13445::m.13445 Gene.13445::c24368_g1_i1-Cluster-5102.0-7.51764::g.13445 ORF type:5prime_partial len:324 (+) c24368_g1_i1-Cluster-5102.0-7.51764:3-974(+),324,0.21604938271604937,Cnem104312 ,73,0.9863013698630136,0.3835616438356164,73,4,241,310,0,1,72,2.64563e-08,99.0
Gene.1068::c25520_g2_i1-Cluster-16423.0-4.37875::g.1068::m.1068 Gene.1068::c25520_g2_i1-Cluster-16423.0-4.37875::g.1068 ORF type:5prime_partial len:131 (+) c25520_g2_i1-Cluster-16423.0-4.37875:1-393(+),131,0.7099236641221374,Cnem943 ,92,1.0,0.6451612903225806,93,1,38,130,0,1,92,1.73237e-44,335.0
Gene.2876::c27723_g1_i1-Cluster-9349.2383-5.52599::g.2876::m.2876 Gene.2876::c27723_g1_i1-Cluster-9349.2383-5.52599::g.2876 ORF type:5prime_partial len:145 (-) c27723_g1_i1-Cluster-9349.2383-5.52599:52-486(-),145,0.6413793103448275,Cnem943 ,92,1.0,0.5806451612903226,93,1,52,144,0,1,92,6.2147e-39,300.0
Gene.3162::c33299_g3_i1-Cluster-9349.1592-5.16032::g.3162::m.3162 Gene.3162::c33299_g3_i1-Cluster-9349.1592-5.16032::g.3162 ORF type:5prime_partial len:550 (-) c33299_g3_i1-Cluster-9349.1592-5.16032:150-1799(-),550,0.1290909090909091,Cnem74063 ,94,0.7553191489361702,0.36585365853658536,82,22,217,287,0,18,88,5.33862,41.0
Gene.18387::c33439_g1_i1-Cluster-6440.0-75.7688::g.18387::m.18387 Gene.18387::c33439_g1_i1-Cluster-6440.0-75.7688::g.18387 ORF type:complete len:218 (+) c33439_g1_i1-Cluster-6440.0-75.7688:2-655(+),218,0.6743119266055045,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9664429530201343,0.3716216216216216,148,5,11,157,0,1,144,1.68095e-29,249.0
Gene.16463::c33969_g1_i1-Cluster-9349.6265-16.8607::g.16463::m.16463 Gene.16463::c33969_g1_i1-Cluster-9349.6265-16.8607::g.16463 ORF type:complete len:334 (+) c33969_g1_i1-Cluster-9349.6265-16.8607:41-1042(+),334,0.48502994011976047,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8307692307692308,0.35714285714285715,168,12,170,331,0,32,193,8.53603e-24,220.0
Gene.17954::c34202_g1_i1-Cluster-9349.9683-149.569::g.17954::m.17954 Gene.17954::c34202_g1_i1-Cluster-9349.9683-149.569::g.17954 ORF type:complete len:152 (+) c34202_g1_i1-Cluster-9349.9683-149.569:55-510(+),152,0.9407894736842105,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9865771812080537,0.4013605442176871,147,4,1,143,0,1,147,8.39528e-36,285.0
