query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.28375::TRINITY_DN108569_c0_g1_i1-Cluster-15193.0-1.86525::g.28375::m.28375 Gene.28375::TRINITY_DN108569_c0_g1_i1-Cluster-15193.0-1.86525::g.28375 ORF type:internal len:310 (-) TRINITY_DN108569_c0_g1_i1-Cluster-15193.0-1.86525:1-927(-),309,0.7055016181229773,Cnem58150 ,262,0.8358778625954199,0.35585585585585583,222,7,88,305,0,1,219,3.23957e-38,324.0
Gene.34179::TRINITY_DN1285_c0_g1_i1-Cluster-35599.1-5.82416::g.34179::m.34179 Gene.34179::TRINITY_DN1285_c0_g1_i1-Cluster-35599.1-5.82416::g.34179 ORF type:internal len:160 (-) TRINITY_DN1285_c0_g1_i1-Cluster-35599.1-5.82416:3-479(-),159,0.9622641509433962,Cnem450 ,198,0.7626262626262627,0.6993464052287581,153,2,7,159,0,1,151,5.22662e-76,555.0
Gene.2441::TRINITY_DN15850_c0_g1_i1-Cluster-912.0-6.25353::g.2441::m.2441 Gene.2441::TRINITY_DN15850_c0_g1_i1-Cluster-912.0-6.25353::g.2441 ORF type:complete len:375 (-) TRINITY_DN15850_c0_g1_i1-Cluster-912.0-6.25353:155-1279(-),375,0.248,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,281,373,0,2,91,8.28289e-31,263.0
Gene.2299::TRINITY_DN17408_c0_g2_i1-Cluster-25613.0-2.21083::g.2299::m.2299 Gene.2299::TRINITY_DN17408_c0_g2_i1-Cluster-25613.0-2.21083::g.2299 ORF type:3prime_partial len:126 (+) TRINITY_DN17408_c0_g2_i1-Cluster-25613.0-2.21083:715-1089(+),125,1.0,Cnem28994 ,156,0.8012820512820513,0.784,125,0,1,125,0,19,143,1.24042e-75,545.0
Gene.31994::TRINITY_DN18261_c0_g1_i1-Cluster-15575.0-4.17631::g.31994::m.31994 Gene.31994::TRINITY_DN18261_c0_g1_i1-Cluster-15575.0-4.17631::g.31994 ORF type:5prime_partial len:456 (+) TRINITY_DN18261_c0_g1_i1-Cluster-15575.0-4.17631:1-1368(+),456,0.3991228070175439,Cnem821 ,215,0.8325581395348837,0.5737704918032787,183,5,36,217,0,37,215,1.48104e-69,542.0
Gene.6525::TRINITY_DN21120_c0_g1_i1-Cluster-30101.3888-2.4573::g.6525::m.6525 Gene.6525::TRINITY_DN21120_c0_g1_i1-Cluster-30101.3888-2.4573::g.6525 ORF type:internal len:138 (+) TRINITY_DN21120_c0_g1_i1-Cluster-30101.3888-2.4573:2-412(+),137,0.5255474452554745,Cnem943 ,92,0.782608695652174,0.9444444444444444,72,0,66,137,0,1,72,6.17124e-49,365.0
Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565::m.11565 Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565 ORF type:5prime_partial len:472 (-) TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492:264-1679(-),472,0.961864406779661,Cnem31170 ,464,0.9698275862068966,0.45751633986928103,459,14,17,470,0,15,464,5.88029e-137,1015.0
Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565::m.11565 Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565 ORF type:5prime_partial len:472 (-) TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492:264-1679(-),472,0.9745762711864406,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9751131221719457,0.38876889848812096,463,35,11,470,0,12,442,1.83852e-106,811.0
Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565::m.11565 Gene.11565::TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492::g.11565 ORF type:5prime_partial len:472 (-) TRINITY_DN21829_c0_g1_i1-Cluster-9356.0-2.87492:264-1679(-),472,0.4343220338983051,Cnem1323 ,206,0.9805825242718447,0.45145631067961167,206,5,266,470,0,1,202,1.15843e-63,503.0
Gene.235::TRINITY_DN22693_c0_g1_i1-Cluster-30101.1696-2.90977::g.235::m.235 Gene.235::TRINITY_DN22693_c0_g1_i1-Cluster-30101.1696-2.90977::g.235 ORF type:5prime_partial len:947 (-) TRINITY_DN22693_c0_g1_i1-Cluster-30101.1696-2.90977:438-3278(-),947,0.22280887011615627,Cnem12941 ,214,0.9766355140186916,0.5687203791469194,211,2,201,411,0,6,214,2.55599e-50,427.0
