query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.6303::c51146_g1_i1-Cluster-2131.14298-9.05295::g.6303::m.6303 Gene.6303::c51146_g1_i1-Cluster-2131.14298-9.05295::g.6303 ORF type:5prime_partial len:625 (-) c51146_g1_i1-Cluster-2131.14298-9.05295:275-2149(-),625,0.8992,Cnem3883 ,602,0.9335548172757475,0.9217081850533808,562,0,3,564,0,41,602,0.0,2826.0
Gene.8283::c59448_g1_i1-Cluster-2131.13908-6.60503::g.8283::m.8283 Gene.8283::c59448_g1_i1-Cluster-2131.13908-6.60503::g.8283 ORF type:complete len:397 (-) c59448_g1_i1-Cluster-2131.13908-6.60503:531-1721(-),397,0.43073047858942065,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8461538461538461,0.37714285714285717,175,14,224,394,0,29,193,4.6491e-35,302.0
Gene.1440::c62172_g2_i1-Cluster-2131.10130-551.649::g.1440::m.1440 Gene.1440::c62172_g2_i1-Cluster-2131.10130-551.649::g.1440 ORF type:complete len:161 (+) c62172_g2_i1-Cluster-2131.10130-551.649:66-548(+),161,0.8012422360248447,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8926174496644296,0.38345864661654133,133,4,1,129,0,1,133,1.04494e-27,232.0
Gene.2309::c64006_g1_i1-Cluster-11210.0-13.4623::g.2309::m.2309 Gene.2309::c64006_g1_i1-Cluster-11210.0-13.4623::g.2309 ORF type:complete len:283 (-) c64006_g1_i1-Cluster-11210.0-13.4623:580-1428(-),283,0.9752650176678446,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.9925093632958801,0.41155234657039713,277,13,1,276,0,1,265,1.79709e-68,525.0
Gene.9336::c66184_g1_i1-Cluster-2131.16526-14.8894::g.9336::m.9336 Gene.9336::c66184_g1_i1-Cluster-2131.16526-14.8894::g.9336 ORF type:5prime_partial len:403 (+) c66184_g1_i1-Cluster-2131.16526-14.8894:2-1210(+),403,0.4143920595533499,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8307692307692308,0.3508771929824561,171,13,228,394,0,32,193,1.95564e-19,191.0
Gene.9960::c66956_g1_i1-Cluster-10266.0-11.5971::g.9960::m.9960 Gene.9960::c66956_g1_i1-Cluster-10266.0-11.5971::g.9960 ORF type:complete len:262 (-) c66956_g1_i1-Cluster-10266.0-11.5971:652-1437(-),262,0.23282442748091603,Cnem104312 ,73,0.821917808219178,0.3770491803278688,61,1,199,259,0,1,60,1.28032e-08,101.0
Gene.8337::c67264_g1_i1-Cluster-2131.8425-8.04665::g.8337::m.8337 Gene.8337::c67264_g1_i1-Cluster-2131.8425-8.04665::g.8337 ORF type:complete len:302 (+) c67264_g1_i1-Cluster-2131.8425-8.04665:146-1051(+),302,0.2052980132450331,Cnem104312 ,73,0.8493150684931506,0.45161290322580644,62,0,239,300,0,1,62,3.61702e-14,142.0
Gene.1230::c67811_g1_i1-Cluster-11480.0-14.2433::g.1230::m.1230 Gene.1230::c67811_g1_i1-Cluster-11480.0-14.2433::g.1230 ORF type:complete len:237 (-) c67811_g1_i1-Cluster-11480.0-14.2433:27-737(-),237,0.6033755274261603,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.959731543624161,0.3986013986013986,143,0,7,149,0,4,146,6.52447e-35,287.0
Gene.3203::c68074_g1_i1-Cluster-2131.7613-198.86::g.3203::m.3203 Gene.3203::c68074_g1_i1-Cluster-2131.7613-198.86::g.3203 ORF type:5prime_partial len:247 (+) c68074_g1_i1-Cluster-2131.7613-198.86:2-742(+),247,0.8380566801619433,Cnem450 ,198,0.9848484848484849,0.4927536231884058,207,12,36,242,0,1,195,8.04005e-69,517.0
Gene.11414::c68958_g1_i1-Cluster-2131.3766-5.07149::g.11414::m.11414 Gene.11414::c68958_g1_i1-Cluster-2131.3766-5.07149::g.11414 ORF type:5prime_partial len:167 (+) c68958_g1_i1-Cluster-2131.3766-5.07149:2-502(+),167,0.9760479041916168,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8256410256410256,0.3515151515151515,165,6,1,163,0,33,193,1.26727e-28,242.0
Gene.4373::c70401_g1_i1-Cluster-2131.9985-3759.02::g.4373::m.4373 Gene.4373::c70401_g1_i1-Cluster-2131.9985-3759.02::g.4373 ORF type:complete len:438 (-) c70401_g1_i1-Cluster-2131.9985-3759.02:73-1386(-),438,0.9726027397260274,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9886877828054299,0.45067264573991034,446,29,5,430,0,6,442,9.86981e-138,1015.0
Gene.4373::c70401_g1_i1-Cluster-2131.9985-3759.02::g.4373::m.4373 Gene.4373::c70401_g1_i1-Cluster-2131.9985-3759.02::g.4373 ORF type:complete len:438 (-) c70401_g1_i1-Cluster-2131.9985-3759.02:73-1386(-),438,0.4726027397260274,Cnem1323 ,206,0.9805825242718447,0.5507246376811594,207,5,224,430,0,1,202,7.60265e-84,635.0
Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539::m.9539 Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539 ORF type:complete len:444 (-) c70739_g1_i1-Cluster-2131.12155-577.25:41-1372(-),444,0.9436936936936937,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9683257918552036,0.4896073903002309,433,19,8,426,0,8,435,5.53011e-148,1083.0
Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539::m.9539 Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539 ORF type:complete len:444 (-) c70739_g1_i1-Cluster-2131.12155-577.25:41-1372(-),444,0.9031531531531531,Cnem31170 ,464,0.9375,0.3922902494331066,441,46,30,430,0,27,461,6.92542e-112,846.0
Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539::m.9539 Gene.9539::c70739_g1_i1-Cluster-2131.12155-577.25::g.9539 ORF type:complete len:444 (-) c70739_g1_i1-Cluster-2131.12155-577.25:41-1372(-),444,0.46621621621621623,Cnem1323 ,206,0.9902912621359223,0.5652173913043478,207,3,231,437,0,1,204,3.76087e-87,658.0
Gene.6466::c70967_g1_i1-Cluster-2131.6868-15.5544::g.6466::m.6466 Gene.6466::c70967_g1_i1-Cluster-2131.6868-15.5544::g.6466 ORF type:5prime_partial len:284 (-) c70967_g1_i1-Cluster-2131.6868-15.5544:11-862(-),284,0.323943661971831,Cnem943 ,92,1.0,0.8043478260869565,92,0,192,283,0,1,92,8.93453e-56,425.0
Gene.10090::c71128_g1_i1-Cluster-2131.9752-228.189::g.10090::m.10090 Gene.10090::c71128_g1_i1-Cluster-2131.9752-228.189::g.10090 ORF type:complete len:647 (+) c71128_g1_i1-Cluster-2131.9752-228.189:166-2106(+),647,0.46831530139103555,Cnem248122 ,236,0.9830508474576272,0.37293729372937295,303,71,333,635,0,1,232,8.67562e-57,469.0
Gene.12032::c71424_g4_i1-Cluster-2131.4567-25.5256::g.12032::m.12032 Gene.12032::c71424_g4_i1-Cluster-2131.4567-25.5256::g.12032 ORF type:5prime_partial len:368 (+) c71424_g4_i1-Cluster-2131.4567-25.5256:1-1104(+),368,0.5625,Cnem1323 ,206,0.9854368932038835,0.42028985507246375,207,4,158,364,0,1,203,1.04145e-60,475.0
Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731::m.5731 Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731 ORF type:complete len:431 (-) c71429_g1_i1-Cluster-2131.10016-364.328:177-1469(-),431,0.9814385150812065,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9864253393665159,0.4943310657596372,441,23,8,430,0,7,442,5.05233e-143,1049.0
Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731::m.5731 Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731 ORF type:complete len:431 (-) c71429_g1_i1-Cluster-2131.10016-364.328:177-1469(-),431,0.9605568445475638,Cnem31170 ,464,0.9633620689655172,0.37193763919821826,449,37,4,417,0,6,452,8.70034e-105,798.0
Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731::m.5731 Gene.5731::c71429_g1_i1-Cluster-2131.10016-364.328::g.5731 ORF type:complete len:431 (-) c71429_g1_i1-Cluster-2131.10016-364.328:177-1469(-),431,0.4617169373549884,Cnem1323 ,206,0.9611650485436893,0.5276381909547738,199,1,227,425,0,1,198,1.86533e-80,612.0
Gene.7638::c71566_g1_i1-Cluster-2131.13588-32.2383::g.7638::m.7638 Gene.7638::c71566_g1_i1-Cluster-2131.13588-32.2383::g.7638 ORF type:complete len:395 (-) c71566_g1_i1-Cluster-2131.13588-32.2383:1873-3057(-),395,0.23544303797468355,Cnem943 ,92,0.8804347826086957,0.40860215053763443,93,12,290,382,0,3,83,1.05843e-19,185.0
Gene.8459::c71647_g1_i1-Cluster-2131.12296-48.4881::g.8459::m.8459 Gene.8459::c71647_g1_i1-Cluster-2131.12296-48.4881::g.8459 ORF type:complete len:400 (-) c71647_g1_i1-Cluster-2131.12296-48.4881:980-2179(-),400,0.9925,Cnem572 ,450,0.8822222222222222,0.4609571788413098,397,0,2,398,0,52,448,1.40561e-116,872.0
Gene.11300::c72094_g2_i1-Cluster-2131.3219-17.5638::g.11300::m.11300 Gene.11300::c72094_g2_i1-Cluster-2131.3219-17.5638::g.11300 ORF type:complete len:416 (+) c72094_g2_i1-Cluster-2131.3219-17.5638:19-1266(+),416,0.9254807692307693,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9012875536480687,0.4061032863849765,426,47,29,413,0,38,457,1.81763e-103,788.0
Gene.12090::c72254_g1_i1-Cluster-2131.4000-7.61851::g.12090::m.12090 Gene.12090::c72254_g1_i1-Cluster-2131.4000-7.61851::g.12090 ORF type:5prime_partial len:146 (+) c72254_g1_i1-Cluster-2131.4000-7.61851:3-440(+),146,0.6301369863013698,Cnem943 ,92,1.0,0.6086956521739131,92,0,54,145,0,1,92,6.05657e-41,314.0
Gene.4945::c72596_g1_i4-Cluster-13011.0-17.238::g.4945::m.4945 Gene.4945::c72596_g1_i4-Cluster-13011.0-17.238::g.4945 ORF type:complete len:640 (-) c72596_g1_i4-Cluster-13011.0-17.238:100-2019(-),640,0.971875,Lsta_ME_v2_CLC_241 Lstag_sfc_5 ,645,0.9689922480620154,0.5182829888712241,629,11,11,632,0,10,634,0.0,1723.0
Gene.8736::c94992_g1_i1-Cluster-2131.12798-8.09772::g.8736::m.8736 Gene.8736::c94992_g1_i1-Cluster-2131.12798-8.09772::g.8736 ORF type:complete len:160 (+) c94992_g1_i1-Cluster-2131.12798-8.09772:179-658(+),160,0.95,Cnem450 ,198,0.7575757575757576,0.5526315789473685,152,2,4,155,0,46,195,7.37522e-59,442.0
