query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.17392::comp57296_c0_seq1-Cluster-7986.0-3.10185::g.17392::m.17392 Gene.17392::comp57296_c0_seq1-Cluster-7986.0-3.10185::g.17392 ORF type:5prime_partial len:174 (-) comp57296_c0_seq1-Cluster-7986.0-3.10185:53-574(-),174,0.5517241379310345,Cnem943 ,92,0.9565217391304348,0.5,96,8,78,173,0,5,92,7.43194e-26,217.0
Gene.1615::comp66036_c0_seq1-Cluster-11689.0-3.7035::g.1615::m.1615 Gene.1615::comp66036_c0_seq1-Cluster-11689.0-3.7035::g.1615 ORF type:5prime_partial len:277 (+) comp66036_c0_seq1-Cluster-11689.0-3.7035:2-832(+),277,0.33212996389891697,Cnem943 ,92,1.0,0.6195652173913043,92,0,185,276,0,1,92,6.78539e-40,318.0
Gene.13293::comp66233_c0_seq1-Cluster-12725.12149-124.297::g.13293::m.13293 Gene.13293::comp66233_c0_seq1-Cluster-12725.12149-124.297::g.13293 ORF type:3prime_partial len:146 (-) comp66233_c0_seq1-Cluster-12725.12149-124.297:3-437(-),145,0.5103448275862069,Cnem1504 ,77,1.0,0.3614457831325301,83,15,1,74,0,1,77,0.867958,42.0
Gene.1423::comp77121_c0_seq1-Cluster-9703.0-6.86313::g.1423::m.1423 Gene.1423::comp77121_c0_seq1-Cluster-9703.0-6.86313::g.1423 ORF type:complete len:373 (+) comp77121_c0_seq1-Cluster-9703.0-6.86313:63-1181(+),373,0.24396782841823056,Cnem943 ,92,0.9782608695652174,0.5274725274725275,91,1,279,369,0,1,90,1.5795e-32,275.0
Gene.452::comp78073_c0_seq2-Cluster-14543.0-2.76606::g.452::m.452 Gene.452::comp78073_c0_seq2-Cluster-14543.0-2.76606::g.452 ORF type:5prime_partial len:238 (+) comp78073_c0_seq2-Cluster-14543.0-2.76606:1-714(+),238,0.2815126050420168,Cnem104312 ,73,0.9315068493150684,0.36231884057971014,69,3,142,208,0,1,68,5.34983e-08,96.0
Gene.3264::comp79720_c0_seq1-Cluster-12725.10941-3.06965::g.3264::m.3264 Gene.3264::comp79720_c0_seq1-Cluster-12725.10941-3.06965::g.3264 ORF type:5prime_partial len:238 (-) comp79720_c0_seq1-Cluster-12725.10941-3.06965:9-722(-),238,0.40336134453781514,Cnem943 ,92,1.0,0.53125,96,4,142,237,0,1,92,2.70469e-34,278.0
Gene.2033::comp81488_c0_seq5-Cluster-12725.26908-7.16323::g.2033::m.2033 Gene.2033::comp81488_c0_seq5-Cluster-12725.26908-7.16323::g.2033 ORF type:5prime_partial len:360 (+) comp81488_c0_seq5-Cluster-12725.26908-7.16323:3-1082(+),360,0.15,Cnem104312 ,73,0.7534246575342466,0.375,56,3,267,320,0,1,55,4.30736e-06,83.0
Gene.17421::comp81590_c0_seq1-Cluster-12725.16978-147.652::g.17421::m.17421 Gene.17421::comp81590_c0_seq1-Cluster-12725.16978-147.652::g.17421 ORF type:5prime_partial len:176 (-) comp81590_c0_seq1-Cluster-12725.16978-147.652:116-643(-),176,0.8068181818181818,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9865771812080537,0.3741496598639456,147,5,27,168,0,1,147,9.47297e-29,240.0
Gene.10612::comp83205_c0_seq1-Cluster-12725.28216-23.0348::g.10612::m.10612 Gene.10612::comp83205_c0_seq1-Cluster-12725.28216-23.0348::g.10612 ORF type:5prime_partial len:388 (+) comp83205_c0_seq1-Cluster-12725.28216-23.0348:3-1166(+),388,0.2551546391752577,Cnem2108 ,128,0.84375,0.46296296296296297,108,9,92,190,0,1,108,2.55101e-27,242.0
Gene.17694::comp85710_c0_seq1-Cluster-12725.18619-18.8518::g.17694::m.17694 Gene.17694::comp85710_c0_seq1-Cluster-12725.18619-18.8518::g.17694 ORF type:5prime_partial len:143 (+) comp85710_c0_seq1-Cluster-12725.18619-18.8518:3-431(+),143,0.5384615384615384,Cnem1504 ,77,0.987012987012987,0.35443037974683544,79,5,23,99,0,2,77,0.145441,47.0
