query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.20843::TRINITY_DN15924_c0_g1_i1-Cluster-5135.20584-53.4324::g.20843::m.20843 Gene.20843::TRINITY_DN15924_c0_g1_i1-Cluster-5135.20584-53.4324::g.20843 ORF type:complete len:545 (+) TRINITY_DN15924_c0_g1_i1-Cluster-5135.20584-53.4324:58-1692(+),545,0.29724770642201837,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8461538461538461,0.3575757575757576,165,3,383,544,0,29,193,3.37465e-28,258.0
Gene.9494::TRINITY_DN19265_c0_g1_i1-Cluster-5135.23753-294.514::g.9494::m.9494 Gene.9494::TRINITY_DN19265_c0_g1_i1-Cluster-5135.23753-294.514::g.9494 ORF type:complete len:189 (+) TRINITY_DN19265_c0_g1_i1-Cluster-5135.23753-294.514:70-636(+),189,0.7513227513227513,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9194630872483222,0.38461538461538464,143,7,36,177,0,4,140,1.69329e-27,233.0
Gene.7858::TRINITY_DN19991_c0_g1_i1-Cluster-5135.15989-97.6008::g.7858::m.7858 Gene.7858::TRINITY_DN19991_c0_g1_i1-Cluster-5135.15989-97.6008::g.7858 ORF type:5prime_partial len:191 (+) TRINITY_DN19991_c0_g1_i1-Cluster-5135.15989-97.6008:2-574(+),191,0.7486910994764397,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9798657718120806,0.3767123287671233,146,3,44,186,0,1,146,1.27832e-33,274.0
Gene.13481::TRINITY_DN21267_c0_g1_i1-Cluster-5135.16600-115.01::g.13481::m.13481 Gene.13481::TRINITY_DN21267_c0_g1_i1-Cluster-5135.16600-115.01::g.13481 ORF type:5prime_partial len:216 (+) TRINITY_DN21267_c0_g1_i1-Cluster-5135.16600-115.01:2-649(+),216,0.9166666666666666,Cnem450 ,198,1.0,0.6464646464646465,198,0,18,215,0,1,198,9.20124e-92,665.0
Gene.18637::TRINITY_DN21619_c0_g1_i1-Cluster-5135.18633-189.04::g.18637::m.18637 Gene.18637::TRINITY_DN21619_c0_g1_i1-Cluster-5135.18633-189.04::g.18637 ORF type:5prime_partial len:223 (+) TRINITY_DN21619_c0_g1_i1-Cluster-5135.18633-189.04:3-671(+),223,0.5695067264573991,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8657718120805369,0.4108527131782946,129,2,24,150,0,7,135,1.71063e-30,256.0
Gene.14259::TRINITY_DN22880_c0_g1_i1-Cluster-5135.13887-38.291::g.14259::m.14259 Gene.14259::TRINITY_DN22880_c0_g1_i1-Cluster-5135.13887-38.291::g.14259 ORF type:internal len:128 (+) TRINITY_DN22880_c0_g1_i1-Cluster-5135.13887-38.291:3-383(+),127,0.5039370078740157,Cnem1504 ,77,0.7922077922077922,0.40625,64,3,31,94,0,1,61,2.53514e-08,94.0
Gene.15709::TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271::g.15709::m.15709 Gene.15709::TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271::g.15709 ORF type:3prime_partial len:505 (+) TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271:317-1828(+),504,0.5932539682539683,Cnem2858 ,314,0.945859872611465,0.5551839464882943,299,2,127,425,0,1,297,4.96333e-122,905.0
Gene.15709::TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271::g.15709::m.15709 Gene.15709::TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271::g.15709 ORF type:3prime_partial len:505 (+) TRINITY_DN26996_c0_g1_i1-Cluster-5135.15111-30.271:317-1828(+),504,0.5257936507936508,Cnem58150 ,262,0.9961832061068703,0.40601503759398494,266,6,51,315,0,1,261,7.26901e-62,498.0
Gene.2491::TRINITY_DN28888_c0_g1_i2-Cluster-5135.17419-22.6713::g.2491::m.2491 Gene.2491::TRINITY_DN28888_c0_g1_i2-Cluster-5135.17419-22.6713::g.2491 ORF type:complete len:394 (-) TRINITY_DN28888_c0_g1_i2-Cluster-5135.17419-22.6713:1092-2273(-),394,0.23604060913705585,Cnem943 ,92,0.8804347826086957,0.43010752688172044,93,12,290,382,0,3,83,4.61077e-22,202.0
Gene.19232::TRINITY_DN30129_c0_g1_i1-Cluster-5135.27322-5.34226::g.19232::m.19232 Gene.19232::TRINITY_DN30129_c0_g1_i1-Cluster-5135.27322-5.34226::g.19232 ORF type:complete len:377 (-) TRINITY_DN30129_c0_g1_i1-Cluster-5135.27322-5.34226:24-1154(-),377,0.2413793103448276,Cnem943 ,92,0.9782608695652174,0.5274725274725275,91,1,283,373,0,1,90,3.82743e-33,279.0
Gene.13958::TRINITY_DN30823_c0_g1_i2-Cluster-5135.2883-3.17148::g.13958::m.13958 Gene.13958::TRINITY_DN30823_c0_g1_i2-Cluster-5135.2883-3.17148::g.13958 ORF type:internal len:307 (+) TRINITY_DN30823_c0_g1_i2-Cluster-5135.2883-3.17148:1-918(+),306,0.3627450980392157,Cnem4282 ,111,1.0,0.6036036036036037,111,0,133,243,0,1,111,1.51995e-49,387.0
Gene.14346::TRINITY_DN31044_c1_g1_i2-Cluster-5135.20419-970.926::g.14346::m.14346 Gene.14346::TRINITY_DN31044_c1_g1_i2-Cluster-5135.20419-970.926::g.14346 ORF type:5prime_partial len:510 (+) TRINITY_DN31044_c1_g1_i2-Cluster-5135.20419-970.926:1-1530(+),510,0.3333333333333333,Cnem821 ,215,0.7627906976744186,0.4294117647058823,170,6,77,246,0,37,200,1.44528e-44,375.0
