query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
NP_001191569.1 actin [Aplysia californica],376,0.24468085106382978,Cnem943 ,92,1.0,0.967391304347826,92,0,285,376,0,1,92,2.33264e-62,476.0
NP_001191653.1 cytoplasmic intermediate filament protein A [Aplysia californica],582,0.9776632302405498,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.9878892733564014,0.7814685314685315,572,4,14,582,0,8,578,0.0,2333.0
NP_001191653.1 cytoplasmic intermediate filament protein A [Aplysia californica],582,0.7577319587628866,Cnem572 ,450,0.9733333333333334,0.7551020408163265,441,3,17,457,0,13,450,0.0,1710.0
XP_005089075.2 PREDICTED: neural-cadherin-like [Aplysia californica],2437,0.13746409519901517,Cnem20360 ,341,0.9765395894428153,0.4647058823529412,340,12,70,404,0,1,333,1.16612e-84,700.0
XP_005089193.1 PREDICTED: cartilage matrix protein-like isoform X1 [Aplysia californica],416,0.9783653846153846,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9549356223175965,0.44719101123595506,445,38,3,409,0,13,457,4.38697e-124,925.0
XP_005089642.1 PREDICTED: adipocyte plasma membrane-associated protein-like [Aplysia californica],419,0.5918854415274463,Cnem2858 ,314,0.7802547770700637,0.36507936507936506,252,11,164,411,0,2,246,2.8389e-56,458.0
XP_005089642.1 PREDICTED: adipocyte plasma membrane-associated protein-like [Aplysia californica],419,0.6014319809069213,Cnem58150 ,262,0.9618320610687023,0.359375,256,8,85,336,0,1,252,1.09757e-46,389.0
XP_005090383.1 PREDICTED: cartilage matrix protein-like [Aplysia californica],416,0.9471153846153846,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9184549356223176,0.48130841121495327,428,34,19,412,0,30,457,2.11394e-130,966.0
XP_005090568.1 PREDICTED: actin-related protein 3 [Aplysia californica],418,0.2607655502392344,Cnem943 ,92,1.0,0.3761467889908257,109,17,306,414,0,1,92,1.951e-20,191.0
XP_005090876.2 PREDICTED: uncharacterized protein LOC101860784 [Aplysia californica],585,0.7846153846153846,Cnem31170 ,464,0.9439655172413793,0.5021739130434782,460,23,126,584,0,27,464,2.34158e-156,1155.0
XP_005090876.2 PREDICTED: uncharacterized protein LOC101860784 [Aplysia californica],585,0.7846153846153846,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9411764705882353,0.38611713665943603,461,47,126,584,0,27,442,7.24341e-103,797.0
XP_005090876.2 PREDICTED: uncharacterized protein LOC101860784 [Aplysia californica],585,0.35213675213675216,Cnem1323 ,206,0.9805825242718447,0.4326923076923077,208,8,379,584,0,1,202,2.60306e-61,494.0
XP_005090893.2 PREDICTED: uncharacterized protein LOC101864584 [Aplysia californica],306,0.46405228758169936,Cnem169764 ,185,0.7675675675675676,0.7816901408450704,142,0,65,206,0,44,185,2.13013e-77,578.0
XP_005091800.1 PREDICTED: V-type proton ATPase subunit B [Aplysia californica],516,1.0,Cnem1237 ,518,1.0,0.9305019305019305,518,2,1,516,0,1,518,0.0,2586.0
XP_005092009.1 PREDICTED: actin-5-like [Aplasia californica],380,0.2394736842105263,Cnem943 ,92,0.9891304347826086,0.8461538461538461,91,0,290,380,0,2,92,3.95079e-58,448.0
XP_005093230.1 PREDICTED: carbonic anhydrase 2-like [Aplysia californica],313,0.21405750798722045,Cnem104312 ,73,0.8904109589041096,0.43283582089552236,67,2,238,304,0,1,65,7.79449e-14,139.0
XP_005093321.1 PREDICTED: basic proline-rich protein-like [Aplysia californica],520,0.9115384615384615,Cnem1850 ,525,0.9923809523809524,0.4032258064516129,558,121,18,491,0,2,522,1.58919e-53,461.0
XP_005093321.1 PREDICTED: basic proline-rich protein-like [Aplysia californica],520,0.325,Lsta_MP_v2_Tri_90027 Lstag_sfc_30 ,187,0.8288770053475936,0.4378698224852071,169,14,317,485,0,7,161,1.09735e-08,111.0
XP_005095301.2 PREDICTED: carbonic anhydrase 7-like [Aplysia californica],324,0.1728395061728395,Cnem104312 ,73,0.7945205479452054,0.39655172413793105,58,2,238,293,0,1,58,2.47743e-10,114.0
XP_005096271.1 PREDICTED: collagen alpha-5(VI) chain-like [Aplysia californica],420,0.9285714285714286,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8905579399141631,0.44471153846153844,416,27,29,418,0,46,460,1.22264e-114,862.0
XP_005096322.1 PREDICTED: uncharacterized protein LOC101850796 [Aplysia californica],302,0.24503311258278146,Cnem74063 ,94,0.776595744680851,0.37662337662337664,77,7,1,74,0,15,87,0.0483179,54.0
XP_005097879.2 PREDICTED: collagen alpha-5(VI) chain-like [Aplysia californica],413,0.927360774818402,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8948497854077253,0.47721822541966424,417,34,27,409,0,44,460,7.22927e-129,956.0
XP_005098882.2 PREDICTED: carbonic anhydrase 2-like [Aplysia californica],335,0.191044776119403,Cnem104312 ,73,0.8493150684931506,0.453125,64,2,272,335,0,1,62,5.77854e-16,155.0
XP_005099074.2 PREDICTED: chorion peroxidase-like [Aplysia californica],637,0.9340659340659341,Lsta_ME_v2_CLC_241 Lstag_sfc_5 ,645,0.9209302325581395,0.3504823151125402,622,55,30,624,0,33,626,9.00335e-114,891.0
XP_005099118.1 PREDICTED: nestin-like [Aplysia californica],1834,0.22464558342420937,Cnem572 ,450,0.92,0.3597122302158273,417,8,46,457,0,15,428,3.05854e-67,579.0
XP_005099432.1 PREDICTED: beta-centractin [Aplysia californica],376,0.24468085106382978,Cnem943 ,92,1.0,0.6086956521739131,92,0,285,376,0,1,92,3.14503e-38,314.0
XP_005100913.1 PREDICTED: actin-related protein 2 [Aplysia californica],395,0.25063291139240507,Cnem943 ,92,0.9456521739130435,0.3939393939393939,99,12,290,388,0,3,89,1.39803e-21,199.0
XP_005101519.2 PREDICTED: actin cytoplasmic [Aplysia californica],536,0.16791044776119404,Cnem943 ,92,0.9891304347826086,0.6263736263736264,91,1,445,534,0,2,92,4.17847e-39,327.0
XP_005103138.1 PREDICTED: actin-5-like [Aplysia californica],382,0.23821989528795812,Cnem943 ,92,0.9891304347826086,0.7472527472527473,91,0,292,382,0,2,92,4.48874e-52,408.0
XP_005104557.1 PREDICTED: uncharacterized protein LOC101858049 [Aplysia californica],580,0.3413793103448276,Cnem1323 ,206,0.9757281553398058,0.38235294117647056,204,9,371,568,0,3,203,1.81822e-42,363.0
XP_005105684.1 PREDICTED: actin-5-like [Aplysia californica],382,0.23821989528795812,Cnem943 ,92,0.9891304347826086,0.8021978021978022,91,0,292,382,0,2,92,1.56982e-52,411.0
XP_005106527.1 PREDICTED: neural-cadherin-like [Aplysia californica],2773,0.11936530833032817,Cnem20360 ,341,0.9853372434017595,0.40117994100294985,339,11,413,743,0,1,336,6.45638e-66,561.0
XP_005106778.1 PREDICTED: actin-like [Aplysia californica],376,0.2393617021276596,Cnem943 ,92,0.967391304347826,0.5444444444444444,90,1,283,372,0,2,90,2.53054e-33,280.0
XP_005107449.1 PREDICTED: collagen alpha-5(VI) chain-like [Aplysia californica],422,0.9834123222748815,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9785407725321889,0.44298245614035087,456,41,1,415,0,2,457,1.31569e-128,955.0
XP_005108061.1 PREDICTED: actin-like protein 6A [Aplysia californica],426,0.21830985915492956,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,333,425,0,2,91,6.6462e-32,273.0
XP_005109965.1 PREDICTED: actin clone 302-like [Aplysia californica],386,0.23316062176165803,Cnem943 ,92,0.9782608695652174,0.6,90,0,297,386,0,1,90,9.61085e-38,311.0
XP_005110120.1 PREDICTED: actin plasmodial isoform-like [Aplysia californica],384,0.23177083333333334,Cnem943 ,92,0.967391304347826,0.43820224719101125,89,0,294,382,0,1,89,7.15718e-28,243.0
XP_005111903.1 PREDICTED: girdin-like [Aplysia californica],544,0.28860294117647056,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8153846153846154,0.3515151515151515,165,14,386,542,0,35,193,7.73986e-23,218.0
XP_012934747.1 PREDICTED: uncharacterized protein LOC101846058 partial [Aplysia californica],716,0.4022346368715084,Cnem7809 ,304,0.9210526315789473,0.4791666666666667,288,8,77,364,0,17,296,6.91541e-63,520.0
XP_012934747.1 PREDICTED: uncharacterized protein LOC101846058 partial [Aplysia californica],716,0.2946927374301676,Cnem12941 ,214,0.9766355140186916,0.4597156398104265,211,2,366,576,0,6,214,3.93167e-37,328.0
