query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.16261::c28883_g1_i1-Cluster-17653.14744-11.0038::g.16261::m.16261 Gene.16261::c28883_g1_i1-Cluster-17653.14744-11.0038::g.16261 ORF type:complete len:622 (-) c28883_g1_i1-Cluster-17653.14744-11.0038:402-2267(-),622,0.9003215434083601,Cnem3883 ,602,0.9302325581395349,0.925,560,0,2,561,0,43,602,0.0,2804.0
Gene.812::c34859_g1_i1-Cluster-17653.13169-47.6581::g.812::m.812 Gene.812::c34859_g1_i1-Cluster-17653.13169-47.6581::g.812 ORF type:complete len:419 (+) c34859_g1_i1-Cluster-17653.13169-47.6581:99-1355(+),419,0.26014319809069214,Cnem943 ,92,1.0,0.3761467889908257,109,17,306,414,0,1,92,1.23123e-20,192.0
Gene.23691::c36025_g2_i1-Cluster-15068.1-6.16024::g.23691::m.23691 Gene.23691::c36025_g2_i1-Cluster-15068.1-6.16024::g.23691 ORF type:5prime_partial len:289 (-) c36025_g2_i1-Cluster-15068.1-6.16024:19-885(-),289,0.5986159169550173,Cnem21112 ,174,0.9022988505747126,0.5168539325842697,178,26,68,240,0,1,157,1.8357e-36,303.0
Gene.10219::c36512_g1_i1-Cluster-3142.0-10.0238::g.10219::m.10219 Gene.10219::c36512_g1_i1-Cluster-3142.0-10.0238::g.10219 ORF type:5prime_partial len:399 (-) c36512_g1_i1-Cluster-3142.0-10.0238:411-1607(-),399,0.23057644110275688,Cnem943 ,92,1.0,0.6086956521739131,92,0,307,398,0,1,92,3.07224e-38,315.0
Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271::m.17271 Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271 ORF type:complete len:277 (+) c36544_g1_i1-Cluster-17653.7037-10.9243:225-1055(+),277,0.7653429602888087,Cnem7508 ,241,0.8962655601659751,0.5580357142857143,224,20,65,276,0,26,241,2.24951e-81,607.0
Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271::m.17271 Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271 ORF type:complete len:277 (+) c36544_g1_i1-Cluster-17653.7037-10.9243:225-1055(+),277,0.7689530685920578,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.8930041152263375,0.5377777777777778,225,20,64,276,0,27,243,4.76613e-81,605.0
Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271::m.17271 Gene.17271::c36544_g1_i1-Cluster-17653.7037-10.9243::g.17271 ORF type:complete len:277 (+) c36544_g1_i1-Cluster-17653.7037-10.9243:225-1055(+),277,0.7617328519855595,Lsta_ME_v2_idb_71083 Lstag_sfc_20b ,257,0.8560311284046692,0.5131578947368421,228,25,66,276,0,38,257,7.05916e-73,552.0
Gene.13589::c38098_g1_i1-Cluster-17653.13129-5.28206::g.13589::m.13589 Gene.13589::c38098_g1_i1-Cluster-17653.13129-5.28206::g.13589 ORF type:5prime_partial len:600 (-) c38098_g1_i1-Cluster-17653.13129-5.28206:291-2090(-),600,0.93,Lsta_ME_v2_CLC_241 Lstag_sfc_5 ,645,0.8790697674418605,0.36271186440677966,590,55,40,597,0,72,638,3.26671e-112,878.0
Gene.521::c38277_g1_i3-Cluster-17653.12155-13.4302::g.521::m.521 Gene.521::c38277_g1_i3-Cluster-17653.12155-13.4302::g.521 ORF type:complete len:837 (-) c38277_g1_i3-Cluster-17653.12155-13.4302:1639-4149(-),837,0.07048984468339307,Cnem104312 ,73,0.7534246575342466,0.3728813559322034,59,4,744,802,0,1,55,2.80579e-09,110.0
Gene.15041::c38405_g1_i1-Cluster-17653.4765-10.7306::g.15041::m.15041 Gene.15041::c38405_g1_i1-Cluster-17653.4765-10.7306::g.15041 ORF type:5prime_partial len:338 (+) c38405_g1_i1-Cluster-17653.4765-10.7306:3-1016(+),338,0.47928994082840237,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.841025641025641,0.35365853658536583,164,2,175,336,0,30,193,2.9611e-31,273.0
