query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.16528::c10647_g1_i1-Cluster-11900.0-2.81756::g.16528::m.16528 Gene.16528::c10647_g1_i1-Cluster-11900.0-2.81756::g.16528 ORF type:complete len:288 (+) c10647_g1_i1-Cluster-11900.0-2.81756:256-1119(+),288,0.96875,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,1.0,0.4326241134751773,282,18,1,279,0,1,267,6.20625e-73,555.0
Gene.11381::c18007_g1_i1-Cluster-2506.1156-5.89693::g.11381::m.11381 Gene.11381::c18007_g1_i1-Cluster-2506.1156-5.89693::g.11381 ORF type:3prime_partial len:652 (-) c18007_g1_i1-Cluster-2506.1156-5.89693:3-1955(-),651,0.4823348694316436,Cnem2858 ,314,0.9968152866242038,0.5445859872611465,314,1,125,438,0,1,313,1.11221e-127,956.0
Gene.11381::c18007_g1_i1-Cluster-2506.1156-5.89693::g.11381::m.11381 Gene.11381::c18007_g1_i1-Cluster-2506.1156-5.89693::g.11381 ORF type:3prime_partial len:652 (-) c18007_g1_i1-Cluster-2506.1156-5.89693:3-1955(-),651,0.40706605222734255,Cnem58150 ,262,0.9961832061068703,0.39849624060150374,266,6,49,313,0,1,261,1.55614e-59,490.0
Gene.28680::c20685_g1_i1-Cluster-6613.0-7.74945::g.28680::m.28680 Gene.28680::c20685_g1_i1-Cluster-6613.0-7.74945::g.28680 ORF type:complete len:195 (+) c20685_g1_i1-Cluster-6613.0-7.74945:96-680(+),195,0.5743589743589743,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.7516778523489933,0.4017857142857143,112,0,42,153,0,35,146,1.82169e-30,254.0
Gene.12147::c30952_g1_i1-Cluster-8561.0-7.2066::g.12147::m.12147 Gene.12147::c30952_g1_i1-Cluster-8561.0-7.2066::g.12147 ORF type:5prime_partial len:182 (-) c30952_g1_i1-Cluster-8561.0-7.2066:94-639(-),182,0.6593406593406593,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8120805369127517,0.371900826446281,121,1,60,179,0,25,145,1.77904e-26,226.0
Gene.9512::c37792_g1_i2-Cluster-10507.0-3.54074::g.9512::m.9512 Gene.9512::c37792_g1_i2-Cluster-10507.0-3.54074::g.9512 ORF type:complete len:392 (-) c37792_g1_i2-Cluster-10507.0-3.54074:400-1575(-),392,0.20153061224489796,Cnem943 ,92,0.8804347826086957,0.5061728395061729,81,2,292,370,0,10,90,2.16029e-22,204.0
Gene.4309::c37902_g1_i1-Cluster-4822.0-42.2263::g.4309::m.4309 Gene.4309::c37902_g1_i1-Cluster-4822.0-42.2263::g.4309 ORF type:5prime_partial len:211 (-) c37902_g1_i1-Cluster-4822.0-42.2263:59-691(-),211,0.95260663507109,Cnem450 ,198,1.0,0.5970149253731343,201,3,10,210,0,1,198,5.48001e-84,613.0
Gene.11252::c41437_g1_i2-Cluster-2506.23632-59.571::g.11252::m.11252 Gene.11252::c41437_g1_i2-Cluster-2506.23632-59.571::g.11252 ORF type:complete len:210 (+) c41437_g1_i2-Cluster-2506.23632-59.571:125-754(+),210,0.6,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8590604026845637,0.4453125,128,2,3,128,0,5,132,7.19664e-33,271.0
Gene.17356::c41888_g1_i1-Cluster-2506.22163-252.34::g.17356::m.17356 Gene.17356::c41888_g1_i1-Cluster-2506.22163-252.34::g.17356 ORF type:5prime_partial len:193 (+) c41888_g1_i1-Cluster-2506.22163-252.34:1-579(+),193,0.694300518134715,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8657718120805369,0.4,135,7,33,166,0,4,132,1.31279e-29,248.0
Gene.22::c43995_g1_i1-Cluster-2506.18622-4.22117::g.22::m.22 Gene.22::c43995_g1_i1-Cluster-2506.18622-4.22117::g.22 ORF type:3prime_partial len:605 (-) c43995_g1_i1-Cluster-2506.18622-4.22117:3-1814(-),604,0.890728476821192,Cnem31170 ,464,0.9375,0.40148698884758366,538,103,67,604,0,27,461,3.54279e-134,1009.0
