query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
comp205744_c0::comp205744_c0_seq1::g.759::m.759 comp205744_c0::comp205744_c0_seq1::g.759 ORF type:5prime_partial len:180 (-) comp205744_c0_seq1:170-709(-),180,0.7888888888888889,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9395973154362416,0.3776223776223776,143,4,17,158,0,4,143,5.09744e-28,236.0
comp214795_c0::comp214795_c0_seq1::g.790::m.790 comp214795_c0::comp214795_c0_seq1::g.790 ORF type:complete len:396 (+) comp214795_c0_seq1:57-1244(+),396,0.25,Cnem943 ,92,0.9456521739130435,0.37373737373737376,99,12,290,388,0,3,89,1.6805e-19,184.0
comp223888_c0::comp223888_c0_seq1::g.825::m.825 comp223888_c0::comp223888_c0_seq1::g.825 ORF type:5prime_partial len:212 (-) comp223888_c0_seq1:128-763(-),212,0.8679245283018868,Cnem450 ,198,0.9494949494949495,0.48404255319148937,188,4,25,208,0,8,195,1.21973e-56,433.0
comp290712_c0::comp290712_c0_seq1::g.1106::m.1106 comp290712_c0::comp290712_c0_seq1::g.1106 ORF type:5prime_partial len:183 (+) comp290712_c0_seq1:1-549(+),183,0.9453551912568307,Cnem450 ,198,0.8838383838383839,0.5771428571428572,175,2,5,177,0,20,194,4.42553e-66,492.0
comp400256_c0::comp400256_c0_seq1::g.2685::m.2685 comp400256_c0::comp400256_c0_seq1::g.2685 ORF type:5prime_partial len:197 (+) comp400256_c0_seq1:2-592(+),197,0.5177664974619289,Cnem943 ,92,0.9347826086956522,0.3627450980392157,102,16,84,185,0,1,86,1.91301e-21,189.0
comp419759_c0::comp419759_c0_seq1::g.3224::m.3224 comp419759_c0::comp419759_c0_seq1::g.3224 ORF type:5prime_partial len:248 (+) comp419759_c0_seq1:1-744(+),248,0.7338709677419355,Cnem450 ,198,0.9242424242424242,0.546448087431694,183,1,65,246,0,15,197,2.36854e-68,514.0
comp427716_c0::comp427716_c0_seq1::g.3626::m.3626 comp427716_c0::comp427716_c0_seq1::g.3626 ORF type:complete len:168 (+) comp427716_c0_seq1:97-600(+),168,0.7380952380952381,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.825503355704698,0.376,125,3,28,151,0,26,148,6.1219e-25,214.0
comp444594_c0::comp444594_c0_seq1::g.4601::m.4601 comp444594_c0::comp444594_c0_seq1::g.4601 ORF type:complete len:292 (-) comp444594_c0_seq1:90-965(-),292,0.6198630136986302,Cnem450 ,198,0.9040404040404041,0.4835164835164835,182,4,111,291,0,20,198,2.28367e-53,419.0
comp456417_c0::comp456417_c0_seq1::g.5792::m.5792 comp456417_c0::comp456417_c0_seq1::g.5792 ORF type:5prime_partial len:197 (+) comp456417_c0_seq1:3-593(+),197,0.6751269035532995,Cnem28994 ,156,0.8461538461538461,0.3602941176470588,136,7,57,189,0,18,149,3.954e-19,178.0
comp457916_c0::comp457916_c0_seq1::g.6021::m.6021 comp457916_c0::comp457916_c0_seq1::g.6021 ORF type:complete len:225 (-) comp457916_c0_seq1:218-892(-),225,0.7822222222222223,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8461538461538461,0.3743016759776536,179,17,47,222,0,29,193,2.00397e-35,293.0
comp467467_c0::comp467467_c0_seq1::g.7982::m.7982 comp467467_c0::comp467467_c0_seq1::g.7982 ORF type:complete len:150 (+) comp467467_c0_seq1:201-650(+),150,0.94,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9731543624161074,0.3793103448275862,145,4,2,142,0,3,147,5.12681e-29,240.0
comp479595_c0::comp479595_c0_seq1::g.12830::m.12830 comp479595_c0::comp479595_c0_seq1::g.12830 ORF type:complete len:396 (-) comp479595_c0_seq1:509-1696(-),396,0.25,Cnem943 ,92,0.9456521739130435,0.40404040404040403,99,12,290,388,0,3,89,2.13996e-22,204.0
comp480847_c0::comp480847_c0_seq1::g.13485::m.13485 comp480847_c0::comp480847_c0_seq1::g.13485 ORF type:5prime_partial len:415 (-) comp480847_c0_seq1:848-2092(-),415,0.38313253012048193,Cnem21112 ,174,0.9022988505747126,0.5209580838323353,167,18,204,362,0,1,157,9.00829e-42,348.0
comp483732_c0::comp483732_c0_seq5::g.15226::m.15226 comp483732_c0::comp483732_c0_seq5::g.15226 ORF type:5prime_partial len:354 (-) comp483732_c0_seq5:330-1391(-),354,0.4491525423728814,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8358974358974359,0.36585365853658536,164,6,192,350,0,30,192,2.88625e-33,287.0
comp483927_c0::comp483927_c0_seq4::g.15345::m.15345 comp483927_c0::comp483927_c0_seq4::g.15345 ORF type:complete len:424 (+) comp483927_c0_seq4:184-1455(+),424,0.21933962264150944,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,330,422,0,2,91,6.89459e-32,272.0
comp484757_c0::comp484757_c0_seq1::g.15889::m.15889 comp484757_c0::comp484757_c0_seq1::g.15889 ORF type:5prime_partial len:377 (+) comp484757_c0_seq1:2-1132(+),377,0.4270557029177719,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8102564102564103,0.35802469135802467,162,5,215,375,0,36,193,3.41395e-33,288.0
comp484777_c0::comp484777_c0_seq2::g.15905::m.15905 comp484777_c0::comp484777_c0_seq2::g.15905 ORF type:complete len:183 (+) comp484777_c0_seq2:819-1367(+),183,0.8579234972677595,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.841025641025641,0.35428571428571426,175,29,23,179,0,29,192,7.73112e-26,225.0
comp484915_c1::comp484915_c1_seq1::g.16019::m.16019 comp484915_c1::comp484915_c1_seq1::g.16019 ORF type:internal len:183 (-) comp484915_c1_seq1:2-547(-),182,0.8241758241758241,Cnem450 ,198,0.7575757575757576,0.609271523178808,151,2,1,150,0,49,198,3.54052e-66,493.0
comp485103_c0::comp485103_c0_seq1::g.16140::m.16140 comp485103_c0::comp485103_c0_seq1::g.16140 ORF type:complete len:530 (+) comp485103_c0_seq1:358-1947(+),530,0.5773584905660377,Cnem2858 ,314,0.9681528662420382,0.5784313725490197,306,2,172,477,0,1,304,1.12263e-135,998.0
comp485103_c0::comp485103_c0_seq1::g.16140::m.16140 comp485103_c0::comp485103_c0_seq1::g.16140 ORF type:complete len:530 (+) comp485103_c0_seq1:358-1947(+),530,0.5,Cnem58150 ,262,0.9961832061068703,0.37593984962406013,266,6,97,361,0,1,261,2.14066e-59,483.0
comp485203_c0::comp485203_c0_seq1::g.16213::m.16213 comp485203_c0::comp485203_c0_seq1::g.16213 ORF type:5prime_partial len:232 (-) comp485203_c0_seq1:730-1425(-),232,0.8793103448275862,Cnem450 ,198,1.0,0.5560975609756098,205,8,28,231,0,1,198,1.84626e-75,559.0
comp487166_c1::comp487166_c1_seq1::g.17664::m.17664 comp487166_c1::comp487166_c1_seq1::g.17664 ORF type:5prime_partial len:322 (-) comp487166_c1_seq1:141-1106(-),322,0.6770186335403726,Cnem58150 ,262,0.8282442748091603,0.35135135135135137,222,9,1,218,0,18,234,9.16733e-37,315.0
comp488621_c0::comp488621_c0_seq3::g.18781::m.18781 comp488621_c0::comp488621_c0_seq3::g.18781 ORF type:5prime_partial len:495 (+) comp488621_c0_seq3:1-1485(+),495,0.9858585858585859,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.8269896193771626,0.5676229508196722,488,10,1,488,0,95,572,0.0,1379.0
comp488621_c0::comp488621_c0_seq3::g.18781::m.18781 comp488621_c0::comp488621_c0_seq3::g.18781 ORF type:5prime_partial len:495 (+) comp488621_c0_seq3:1-1485(+),495,0.7191919191919192,Cnem572 ,450,0.7911111111111111,0.5758426966292135,356,0,1,356,0,95,450,1.1936e-135,1008.0
