query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.23993::c10199_g1_i1-Cluster-4213.0-2.36239::g.23993::m.23993 Gene.23993::c10199_g1_i1-Cluster-4213.0-2.36239::g.23993 ORF type:internal len:135 (+) c10199_g1_i1-Cluster-4213.0-2.36239:3-404(+),134,0.39552238805970147,Cnem104312 ,73,0.7534246575342466,0.38181818181818183,55,2,42,94,0,1,55,5.21578e-07,85.0
Gene.18315::c20024_g1_i1-Cluster-5390.0-2.59639::g.18315::m.18315 Gene.18315::c20024_g1_i1-Cluster-5390.0-2.59639::g.18315 ORF type:5prime_partial len:166 (+) c20024_g1_i1-Cluster-5390.0-2.59639:3-500(+),166,0.7469879518072289,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8590604026845637,0.3828125,128,4,24,147,0,5,132,4.70278e-27,228.0
Gene.4878::c22333_g1_i1-Cluster-16507.0-7.73493::g.4878::m.4878 Gene.4878::c22333_g1_i1-Cluster-16507.0-7.73493::g.4878 ORF type:5prime_partial len:336 (-) c22333_g1_i1-Cluster-16507.0-7.73493:108-1115(-),336,0.49107142857142855,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8461538461538461,0.35294117647058826,170,10,170,334,0,29,193,3.80921e-28,251.0
Gene.20832::c25756_g1_i1-Cluster-8642.0-2.23544::g.20832::m.20832 Gene.20832::c25756_g1_i1-Cluster-8642.0-2.23544::g.20832 ORF type:5prime_partial len:166 (+) c25756_g1_i1-Cluster-8642.0-2.23544:2-499(+),166,0.963855421686747,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8256410256410256,0.36809815950920244,163,5,4,163,0,32,192,1.51022e-31,262.0
Gene.18919::c28590_g1_i1-Cluster-17044.4653-2.05058::g.18919::m.18919 Gene.18919::c28590_g1_i1-Cluster-17044.4653-2.05058::g.18919 ORF type:5prime_partial len:323 (-) c28590_g1_i1-Cluster-17044.4653-2.05058:48-1016(-),323,0.6037151702786377,Cnem1323 ,206,0.9805825242718447,0.35436893203883496,206,15,128,322,0,2,203,2.61889e-39,328.0
Gene.7989::c29607_g1_i2-Cluster-15900.0-3.38355::g.7989::m.7989 Gene.7989::c29607_g1_i2-Cluster-15900.0-3.38355::g.7989 ORF type:complete len:371 (+) c29607_g1_i2-Cluster-15900.0-3.38355:51-1163(+),371,0.24258760107816713,Cnem943 ,92,0.9782608695652174,0.5333333333333333,90,0,281,370,0,2,91,5.44638e-35,292.0
Gene.20176::c30093_g1_i1-Cluster-17044.29183-23.4461::g.20176::m.20176 Gene.20176::c30093_g1_i1-Cluster-17044.29183-23.4461::g.20176 ORF type:complete len:422 (+) c30093_g1_i1-Cluster-17044.29183-23.4461:184-1449(+),422,0.22037914691943128,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,328,420,0,2,91,5.00264e-33,280.0
Gene.21720::c31634_g1_i1-Cluster-17044.4768-113.733::g.21720::m.21720 Gene.21720::c31634_g1_i1-Cluster-17044.4768-113.733::g.21720 ORF type:5prime_partial len:228 (+) c31634_g1_i1-Cluster-17044.4768-113.733:3-686(+),228,0.2675438596491228,Cnem1504 ,77,0.8051948051948052,0.3870967741935484,62,1,47,107,0,4,65,2.76013e-05,76.0
Gene.10559::c32168_g1_i1-Cluster-6457.0-3.8093::g.10559::m.10559 Gene.10559::c32168_g1_i1-Cluster-6457.0-3.8093::g.10559 ORF type:3prime_partial len:477 (+) c32168_g1_i1-Cluster-6457.0-3.8093:216-1643(+),476,0.6260504201680672,Cnem2858 ,314,0.945859872611465,0.5536912751677853,298,1,129,426,0,1,297,9.06913e-123,907.0
Gene.10559::c32168_g1_i1-Cluster-6457.0-3.8093::g.10559::m.10559 Gene.10559::c32168_g1_i1-Cluster-6457.0-3.8093::g.10559 ORF type:3prime_partial len:477 (+) c32168_g1_i1-Cluster-6457.0-3.8093:216-1643(+),476,0.542016806722689,Cnem58150 ,262,0.9770992366412213,0.38996138996138996,259,4,53,310,0,1,256,4.54898e-59,477.0
Gene.2467::c32412_g2_i1-Cluster-4820.0-14.0926::g.2467::m.2467 Gene.2467::c32412_g2_i1-Cluster-4820.0-14.0926::g.2467 ORF type:5prime_partial len:412 (+) c32412_g2_i1-Cluster-4820.0-14.0926:2-1237(+),412,0.9101941747572816,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9012875536480687,0.35498839907192575,431,67,36,410,0,38,457,4.3253e-73,583.0
Gene.21772::c35303_g1_i1-Cluster-13709.0-14.3867::g.21772::m.21772 Gene.21772::c35303_g1_i1-Cluster-13709.0-14.3867::g.21772 ORF type:5prime_partial len:526 (-) c35303_g1_i1-Cluster-13709.0-14.3867:138-1715(-),526,0.3403041825095057,Cnem821 ,215,0.7953488372093023,0.39664804469273746,179,8,87,265,0,36,206,2.85178e-43,367.0
Gene.22523::c36106_g1_i1-Cluster-17044.11248-221.266::g.22523::m.22523 Gene.22523::c36106_g1_i1-Cluster-17044.11248-221.266::g.22523 ORF type:5prime_partial len:190 (+) c36106_g1_i1-Cluster-17044.11248-221.266:2-571(+),190,0.4842105263157895,Cnem943 ,92,1.0,0.9239130434782609,92,0,98,189,0,1,92,2.83976e-64,472.0
Gene.16757::c36424_g1_i2-Cluster-17044.13060-92.401::g.16757::m.16757 Gene.16757::c36424_g1_i2-Cluster-17044.13060-92.401::g.16757 ORF type:5prime_partial len:211 (+) c36424_g1_i2-Cluster-17044.13060-92.401:1-633(+),211,0.9383886255924171,Cnem450 ,198,1.0,0.6616161616161617,198,0,13,210,0,1,198,2.15291e-94,682.0
Gene.12202::c36675_g1_i1-Cluster-17044.24819-232.535::g.12202::m.12202 Gene.12202::c36675_g1_i1-Cluster-17044.24819-232.535::g.12202 ORF type:complete len:206 (-) c36675_g1_i1-Cluster-17044.24819-232.535:27-644(-),206,0.6407766990291263,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8993288590604027,0.43703703703703706,135,4,2,133,0,3,136,1.79924e-32,268.0
Gene.24139::c37198_g1_i1-Cluster-17044.24036-5.65417::g.24139::m.24139 Gene.24139::c37198_g1_i1-Cluster-17044.24036-5.65417::g.24139 ORF type:5prime_partial len:200 (+) c37198_g1_i1-Cluster-17044.24036-5.65417:3-602(+),200,0.955,Cnem450 ,198,1.0,0.5,200,11,9,199,0,1,198,2.31093e-63,476.0
Gene.11946::c38234_g1_i1-Cluster-17044.21316-105.905::g.11946::m.11946 Gene.11946::c38234_g1_i1-Cluster-17044.21316-105.905::g.11946 ORF type:complete len:156 (+) c38234_g1_i1-Cluster-17044.21316-105.905:143-610(+),156,0.8846153846153846,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8993288590604027,0.3546099290780142,141,10,1,138,0,4,137,1.9294e-23,203.0
Gene.13720::c39225_g1_i1-Cluster-17044.7210-7.30062::g.13720::m.13720 Gene.13720::c39225_g1_i1-Cluster-17044.7210-7.30062::g.13720 ORF type:5prime_partial len:567 (+) c39225_g1_i1-Cluster-17044.7210-7.30062:1-1701(+),567,0.2998236331569665,Cnem1188 ,179,0.9497206703910615,0.543859649122807,171,2,145,314,0,10,179,9.36498e-64,507.0
Gene.13720::c39225_g1_i1-Cluster-17044.7210-7.30062::g.13720::m.13720 Gene.13720::c39225_g1_i1-Cluster-17044.7210-7.30062::g.13720 ORF type:5prime_partial len:567 (+) c39225_g1_i1-Cluster-17044.7210-7.30062:1-1701(+),567,0.19400352733686066,Cnem4282 ,111,0.990990990990991,0.5363636363636364,110,0,446,555,0,1,110,3.18043e-40,338.0
Gene.250::c39968_g1_i1-Cluster-7651.0-9.71283::g.250::m.250 Gene.250::c39968_g1_i1-Cluster-7651.0-9.71283::g.250 ORF type:complete len:393 (+) c39968_g1_i1-Cluster-7651.0-9.71283:91-1269(+),393,0.4223918575063613,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8307692307692308,0.3588235294117647,170,12,225,390,0,32,193,1.18894e-23,222.0
Gene.27484::c40403_g1_i1-Cluster-17044.28345-43.7455::g.27484::m.27484 Gene.27484::c40403_g1_i1-Cluster-17044.28345-43.7455::g.27484 ORF type:complete len:419 (+) c40403_g1_i1-Cluster-17044.28345-43.7455:104-1360(+),419,0.26014319809069214,Cnem943 ,92,1.0,0.3761467889908257,109,17,306,414,0,1,92,7.5767e-21,194.0
Gene.28749::c40645_g1_i1-Cluster-17044.12461-14.5057::g.28749::m.28749 Gene.28749::c40645_g1_i1-Cluster-17044.12461-14.5057::g.28749 ORF type:complete len:379 (-) c40645_g1_i1-Cluster-17044.12461-14.5057:141-1277(-),379,0.24010554089709762,Cnem943 ,92,0.9891304347826086,0.5604395604395604,91,0,288,378,0,2,92,2.23184e-38,315.0
Gene.2177::c41314_g2_i1-Cluster-17044.5510-5.04165::g.2177::m.2177 Gene.2177::c41314_g2_i1-Cluster-17044.5510-5.04165::g.2177 ORF type:complete len:555 (+) c41314_g2_i1-Cluster-17044.5510-5.04165:122-1786(+),555,0.9783783783783784,Cnem31170 ,464,0.9913793103448276,0.39042357274401474,543,83,10,552,0,5,464,1.76194e-137,1027.0
Gene.2177::c41314_g2_i1-Cluster-17044.5510-5.04165::g.2177::m.2177 Gene.2177::c41314_g2_i1-Cluster-17044.5510-5.04165::g.2177 ORF type:complete len:555 (+) c41314_g2_i1-Cluster-17044.5510-5.04165:122-1786(+),555,0.37117117117117115,Cnem1323 ,206,0.9805825242718447,0.46601941747572817,206,4,347,552,0,1,202,3.59086e-65,519.0
Gene.17132::c41347_g1_i1-Cluster-13611.0-11.0937::g.17132::m.17132 Gene.17132::c41347_g1_i1-Cluster-13611.0-11.0937::g.17132 ORF type:complete len:285 (-) c41347_g1_i1-Cluster-13611.0-11.0937:514-1368(-),285,0.9473684210526315,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.9850187265917603,0.4317343173431734,271,9,1,270,0,1,263,7.76986e-70,534.0
Gene.22882::c41644_g1_i1-Cluster-17044.20661-41.2288::g.22882::m.22882 Gene.22882::c41644_g1_i1-Cluster-17044.20661-41.2288::g.22882 ORF type:5prime_partial len:422 (-) c41644_g1_i1-Cluster-17044.20661-41.2288:1003-2268(-),422,0.22037914691943128,Cnem943 ,92,0.8804347826086957,0.3978494623655914,93,12,317,409,0,3,83,2.59918e-20,190.0
Gene.18304::c41905_g1_i2-Cluster-17044.22941-5.42865::g.18304::m.18304 Gene.18304::c41905_g1_i2-Cluster-17044.22941-5.42865::g.18304 ORF type:5prime_partial len:385 (+) c41905_g1_i2-Cluster-17044.22941-5.42865:2-1156(+),385,0.23116883116883116,Cnem2744 ,115,0.7565217391304347,0.4606741573033708,89,2,289,377,0,26,112,4.74585e-20,189.0
Gene.20751::c41925_g1_i1-Cluster-7754.0-11.6474::g.20751::m.20751 Gene.20751::c41925_g1_i1-Cluster-7754.0-11.6474::g.20751 ORF type:complete len:408 (+) c41925_g1_i1-Cluster-7754.0-11.6474:138-1361(+),408,0.9705882352941176,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9291845493562232,0.36818181818181817,440,51,11,406,0,25,457,7.26445e-90,696.0
Gene.4465::c42092_g1_i1-Cluster-17044.23610-4.82708::g.4465::m.4465 Gene.4465::c42092_g1_i1-Cluster-17044.23610-4.82708::g.4465 ORF type:complete len:139 (+) c42092_g1_i1-Cluster-17044.23610-4.82708:1136-1552(+),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.7372262773722628,137,0,1,137,0,19,155,3.17001e-75,544.0
Gene.12013::c42092_g2_i2-Cluster-17044.7399-4.14578::g.12013::m.12013 Gene.12013::c42092_g2_i2-Cluster-17044.7399-4.14578::g.12013 ORF type:complete len:139 (+) c42092_g2_i2-Cluster-17044.7399-4.14578:312-728(+),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.7372262773722628,137,0,1,137,0,19,155,3.17001e-75,544.0
Gene.19726::c42363_g1_i3-Cluster-17044.21144-256.863::g.19726::m.19726 Gene.19726::c42363_g1_i3-Cluster-17044.21144-256.863::g.19726 ORF type:complete len:454 (-) c42363_g1_i3-Cluster-17044.21144-256.863:2506-3867(-),454,0.9713656387665198,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.7647058823529411,0.7262443438914027,442,1,13,453,0,11,452,0.0,1637.0
Gene.19726::c42363_g1_i3-Cluster-17044.21144-256.863::g.19726::m.19726 Gene.19726::c42363_g1_i3-Cluster-17044.21144-256.863::g.19726 ORF type:complete len:454 (-) c42363_g1_i3-Cluster-17044.21144-256.863:2506-3867(-),454,0.9933920704845814,Cnem572 ,450,1.0,0.6962305986696231,451,1,1,451,0,1,450,0.0,1588.0
Gene.27985::c42473_g1_i1-Cluster-17044.26828-33.7168::g.27985::m.27985 Gene.27985::c42473_g1_i1-Cluster-17044.26828-33.7168::g.27985 ORF type:complete len:467 (+) c42473_g1_i1-Cluster-17044.26828-33.7168:82-1482(+),467,0.17987152034261242,Cnem74063 ,94,0.8936170212765957,0.36666666666666664,90,12,195,278,0,4,87,0.748952,47.0
Gene.4755::c43038_g1_i1-Cluster-17044.21492-58.6435::g.4755::m.4755 Gene.4755::c43038_g1_i1-Cluster-17044.21492-58.6435::g.4755 ORF type:complete len:504 (+) c43038_g1_i1-Cluster-17044.21492-58.6435:157-1668(+),504,0.28174603174603174,Cnem169764 ,185,0.7675675675675676,0.7535211267605634,142,0,71,212,0,44,185,4.2898e-73,567.0
Gene.11441::c43125_g2_i1-Cluster-17044.14656-71.1646::g.11441::m.11441 Gene.11441::c43125_g2_i1-Cluster-17044.14656-71.1646::g.11441 ORF type:5prime_partial len:515 (+) c43125_g2_i1-Cluster-17044.14656-71.1646:2-1546(+),515,0.996116504854369,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.8598615916955017,0.530214424951267,513,16,1,513,0,80,576,0.0,1332.0
Gene.11441::c43125_g2_i1-Cluster-17044.14656-71.1646::g.11441::m.11441 Gene.11441::c43125_g2_i1-Cluster-17044.14656-71.1646::g.11441 ORF type:5prime_partial len:515 (+) c43125_g2_i1-Cluster-17044.14656-71.1646:2-1546(+),515,0.6815533980582524,Cnem572 ,450,0.78,0.5726495726495726,351,0,1,351,0,80,430,2.24951e-131,981.0
Gene.5632::c43310_g1_i5-Cluster-17044.23875-10.8356::g.5632::m.5632 Gene.5632::c43310_g1_i5-Cluster-17044.23875-10.8356::g.5632 ORF type:complete len:267 (+) c43310_g1_i5-Cluster-17044.23875-10.8356:266-1066(+),267,0.5543071161048689,Cnem123 ,185,0.8432432432432433,0.36904761904761907,168,32,102,249,0,16,171,9.82372e-17,167.0
Gene.22333::c43999_g2_i1-Cluster-17044.4333-10.2468::g.22333::m.22333 Gene.22333::c43999_g2_i1-Cluster-17044.4333-10.2468::g.22333 ORF type:5prime_partial len:441 (-) c43999_g2_i1-Cluster-17044.4333-10.2468:501-1823(-),441,0.9977324263038548,Cnem7323 ,543,0.8103130755064457,0.8068181818181818,440,0,1,440,0,104,543,0.0,2024.0
