query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.10642::c43433_g1_i2-Cluster-3865.0-2.53314::g.10642::m.10642 Gene.10642::c43433_g1_i2-Cluster-3865.0-2.53314::g.10642 ORF type:complete len:139 (+) c43433_g1_i2-Cluster-3865.0-2.53314:484-900(+),139,0.9928057553956835,Cnem28994 ,156,0.8846153846153846,0.7753623188405797,138,0,1,138,0,19,156,6.70233e-80,575.0
Gene.21630::c48276_g1_i1-Cluster-7898.3991-2.78162::g.21630::m.21630 Gene.21630::c48276_g1_i1-Cluster-7898.3991-2.78162::g.21630 ORF type:5prime_partial len:331 (+) c48276_g1_i1-Cluster-7898.3991-2.78162:1-993(+),331,0.19637462235649547,Cnem104312 ,73,0.821917808219178,0.35384615384615387,65,5,238,302,0,1,60,1.18815e-08,102.0
Gene.5670::c49690_g1_i1-Cluster-2723.0-7.79772::g.5670::m.5670 Gene.5670::c49690_g1_i1-Cluster-2723.0-7.79772::g.5670 ORF type:complete len:553 (+) c49690_g1_i1-Cluster-2723.0-7.79772:391-2049(+),553,0.6329113924050633,Cnem31170 ,464,0.7758620689655172,0.3524590163934426,366,22,196,545,0,105,464,7.74061e-67,552.0
Gene.5670::c49690_g1_i1-Cluster-2723.0-7.79772::g.5670::m.5670 Gene.5670::c49690_g1_i1-Cluster-2723.0-7.79772::g.5670 ORF type:complete len:553 (+) c49690_g1_i1-Cluster-2723.0-7.79772:391-2049(+),553,0.3562386980108499,Cnem1323 ,206,0.970873786407767,0.39705882352941174,204,11,349,545,0,3,202,3.58406e-45,381.0
Gene.6213::c53086_g1_i1-Cluster-7898.14803-65.6771::g.6213::m.6213 Gene.6213::c53086_g1_i1-Cluster-7898.14803-65.6771::g.6213 ORF type:complete len:253 (-) c53086_g1_i1-Cluster-7898.14803-65.6771:321-1079(-),253,0.9920948616600791,Cnem450 ,198,1.0,0.4444444444444444,252,55,1,251,0,1,198,1.09058e-70,530.0
Gene.7639::c53489_g1_i1-Cluster-7898.25416-222.673::g.7639::m.7639 Gene.7639::c53489_g1_i1-Cluster-7898.25416-222.673::g.7639 ORF type:complete len:412 (-) c53489_g1_i1-Cluster-7898.25416-222.673:128-1363(-),412,0.9247572815533981,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9012875536480687,0.4346793349168646,421,41,24,404,0,38,457,1.72417e-114,861.0
Gene.3234::c53743_g1_i1-Cluster-7898.19863-20.3794::g.3234::m.3234 Gene.3234::c53743_g1_i1-Cluster-7898.19863-20.3794::g.3234 ORF type:complete len:396 (-) c53743_g1_i1-Cluster-7898.19863-20.3794:3077-4264(-),396,0.23484848484848486,Cnem943 ,92,0.8804347826086957,0.43010752688172044,93,12,290,382,0,3,83,9.62493e-22,200.0
Gene.3310::c55605_g1_i2-Cluster-4259.3-7.14511::g.3310::m.3310 Gene.3310::c55605_g1_i2-Cluster-4259.3-7.14511::g.3310 ORF type:complete len:398 (+) c55605_g1_i2-Cluster-4259.3-7.14511:256-1449(+),398,0.22613065326633167,Cnem943 ,92,0.9891304347826086,0.5494505494505495,91,1,305,394,0,2,92,2.82618e-33,281.0
Gene.16394::c58652_g1_i1-Cluster-7898.19429-17.118::g.16394::m.16394 Gene.16394::c58652_g1_i1-Cluster-7898.19429-17.118::g.16394 ORF type:complete len:411 (-) c58652_g1_i1-Cluster-7898.19429-17.118:312-1544(-),411,0.9902676399026764,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9892703862660944,0.3882863340563991,461,54,1,407,0,1,461,3.31251e-103,785.0
Gene.10961::c58652_g1_i2-Cluster-7898.16908-9.50278::g.10961::m.10961 Gene.10961::c58652_g1_i2-Cluster-7898.16908-9.50278::g.10961 ORF type:complete len:402 (-) c58652_g1_i2-Cluster-7898.16908-9.50278:312-1517(-),402,0.9402985074626866,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8969957081545065,0.3546099290780142,423,50,21,398,0,44,461,4.69429e-86,670.0
Gene.16951::c58652_g1_i3-Cluster-7898.20742-26.3227::g.16951::m.16951 Gene.16951::c58652_g1_i3-Cluster-7898.20742-26.3227::g.16951 ORF type:5prime_partial len:375 (-) c58652_g1_i3-Cluster-7898.20742-26.3227:206-1330(-),375,0.9866666666666667,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8841201716738197,0.38369304556354916,417,52,2,371,0,50,461,4.3931e-90,694.0
