query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.7430::comp46736_c0_seq1-Cluster-12042.0-1.24976::g.7430::m.7430 Gene.7430::comp46736_c0_seq1-Cluster-12042.0-1.24976::g.7430 ORF type:internal len:280 (-) comp46736_c0_seq1-Cluster-12042.0-1.24976:3-839(-),279,0.910394265232975,Cnem7809 ,304,0.7993421052631579,0.41732283464566927,254,11,17,270,0,17,259,1.67347e-46,380.0
Gene.1186::comp47666_c0_seq1-Cluster-7776.0-1.6332::g.1186::m.1186 Gene.1186::comp47666_c0_seq1-Cluster-7776.0-1.6332::g.1186 ORF type:5prime_partial len:322 (-) comp47666_c0_seq1-Cluster-7776.0-1.6332:83-1048(-),322,0.4968944099378882,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8256410256410256,0.36363636363636365,165,9,161,320,0,33,193,8.64622e-30,262.0
Gene.10040::comp48752_c0_seq1-Cluster-18457.8714-67.8595::g.10040::m.10040 Gene.10040::comp48752_c0_seq1-Cluster-18457.8714-67.8595::g.10040 ORF type:5prime_partial len:218 (+) comp48752_c0_seq1-Cluster-18457.8714-67.8595:1-654(+),218,0.8990825688073395,Cnem450 ,198,1.0,0.6616161616161617,198,2,22,217,0,1,198,1.4162e-92,671.0
Gene.20387::comp52669_c0_seq1-Cluster-18457.12909-54.2203::g.20387::m.20387 Gene.20387::comp52669_c0_seq1-Cluster-18457.12909-54.2203::g.20387 ORF type:complete len:146 (+) comp52669_c0_seq1-Cluster-18457.12909-54.2203:196-633(+),146,0.9726027397260274,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9731543624161074,0.3931034482758621,145,3,2,143,0,3,147,6.95113e-36,285.0
Gene.16078::comp55900_c0_seq1-Cluster-18457.14192-13.1561::g.16078::m.16078 Gene.16078::comp55900_c0_seq1-Cluster-18457.14192-13.1561::g.16078 ORF type:complete len:254 (+) comp55900_c0_seq1-Cluster-18457.14192-13.1561:1-762(+),254,0.36220472440944884,Cnem943 ,92,1.0,0.9239130434782609,92,0,162,253,0,1,92,1.92833e-63,473.0
Gene.8223::comp58844_c0_seq2-Cluster-18457.9476-5.30893::g.8223::m.8223 Gene.8223::comp58844_c0_seq2-Cluster-18457.9476-5.30893::g.8223 ORF type:3prime_partial len:451 (+) comp58844_c0_seq2-Cluster-18457.9476-5.30893:198-1547(+),450,0.5777777777777777,Cnem58150 ,262,0.9885496183206107,0.5210727969348659,261,3,44,303,0,1,259,2.75584e-92,698.0
Gene.8223::comp58844_c0_seq2-Cluster-18457.9476-5.30893::g.8223::m.8223 Gene.8223::comp58844_c0_seq2-Cluster-18457.9476-5.30893::g.8223 ORF type:3prime_partial len:451 (+) comp58844_c0_seq2-Cluster-18457.9476-5.30893:198-1547(+),450,0.6355555555555555,Cnem2858 ,314,0.8980891719745223,0.3588850174216028,287,6,121,406,0,2,283,2.22484e-62,502.0
Gene.2389::comp60069_c0_seq1-Cluster-10287.0-111.664::g.2389::m.2389 Gene.2389::comp60069_c0_seq1-Cluster-10287.0-111.664::g.2389 ORF type:complete len:152 (+) comp60069_c0_seq1-Cluster-10287.0-111.664:153-608(+),152,0.8355263157894737,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8657718120805369,0.3953488372093023,129,2,4,130,0,5,133,1.1534e-29,244.0
Gene.3386::comp60437_c0_seq1-Cluster-18457.20284-275.353::g.3386::m.3386 Gene.3386::comp60437_c0_seq1-Cluster-18457.20284-275.353::g.3386 ORF type:internal len:190 (+) comp60437_c0_seq1-Cluster-18457.20284-275.353:1-567(+),189,0.6878306878306878,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8926174496644296,0.40601503759398494,133,3,15,144,0,3,135,2.91327e-33,272.0
Gene.16522::comp60744_c0_seq2-Cluster-2785.0-1.89937::g.16522::m.16522 Gene.16522::comp60744_c0_seq2-Cluster-2785.0-1.89937::g.16522 ORF type:complete len:139 (+) comp60744_c0_seq2-Cluster-2785.0-1.89937:612-1028(+),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.781021897810219,137,0,1,137,0,19,155,1.32257e-79,573.0
