query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.7194::c23508_g1_i2-Cluster-5063.17794-43.1404::g.7194::m.7194 Gene.7194::c23508_g1_i2-Cluster-5063.17794-43.1404::g.7194 ORF type:complete len:182 (-) c23508_g1_i2-Cluster-5063.17794-43.1404:98-643(-),182,0.9340659340659341,Cnem450 ,198,0.8686868686868687,0.5406976744186046,172,2,6,175,0,22,193,1.91539e-59,449.0
Gene.10084::c24338_g1_i1-Cluster-5063.17641-78.533::g.10084::m.10084 Gene.10084::c24338_g1_i1-Cluster-5063.17641-78.533::g.10084 ORF type:complete len:404 (-) c24338_g1_i1-Cluster-5063.17641-78.533:149-1360(-),404,0.943069306930693,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9034334763948498,0.47030878859857483,421,40,21,401,0,37,457,4.27653e-128,950.0
Gene.16316::c26120_g1_i1-Cluster-5063.22975-9.12938::g.16316::m.16316 Gene.16316::c26120_g1_i1-Cluster-5063.22975-9.12938::g.16316 ORF type:complete len:202 (+) c26120_g1_i1-Cluster-5063.22975-9.12938:115-720(+),202,0.9405940594059405,Cnem450 ,198,0.9696969696969697,0.5625,192,2,5,194,0,1,192,2.40276e-73,542.0
Gene.3149::c28114_g1_i1-Cluster-5063.26094-19.759::g.3149::m.3149 Gene.3149::c28114_g1_i1-Cluster-5063.26094-19.759::g.3149 ORF type:3prime_partial len:351 (+) c28114_g1_i1-Cluster-5063.26094-19.759:203-1252(+),350,0.42857142857142855,Cnem169764 ,185,0.8054054054054054,0.76,150,1,65,214,0,37,185,4.0559e-78,587.0
Gene.8121::c28206_g1_i1-Cluster-5063.4628-3.10182::g.8121::m.8121 Gene.8121::c28206_g1_i1-Cluster-5063.4628-3.10182::g.8121 ORF type:complete len:419 (-) c28206_g1_i1-Cluster-5063.4628-3.10182:74-1330(-),419,0.26014319809069214,Cnem943 ,92,1.0,0.3853211009174312,109,17,306,414,0,1,92,1.01984e-21,200.0
Gene.932::c28784_g1_i1-Cluster-977.0-3.92816::g.932::m.932 Gene.932::c28784_g1_i1-Cluster-977.0-3.92816::g.932 ORF type:3prime_partial len:139 (+) c28784_g1_i1-Cluster-977.0-3.92816:159-572(+),138,0.9927536231884058,Cnem28994 ,156,0.8782051282051282,0.7664233576642335,137,0,1,137,0,19,155,2.1506e-80,578.0
Gene.14892::c29572_g2_i1-Cluster-5063.14939-3.03464::g.14892::m.14892 Gene.14892::c29572_g2_i1-Cluster-5063.14939-3.03464::g.14892 ORF type:complete len:427 (-) c29572_g2_i1-Cluster-5063.14939-3.03464:1040-2320(-),427,0.21779859484777517,Cnem943 ,92,0.9782608695652174,0.5053763440860215,93,3,333,425,0,2,91,2.89528e-32,275.0
Gene.17219::c29779_g1_i1-Cluster-3231.0-2.31291::g.17219::m.17219 Gene.17219::c29779_g1_i1-Cluster-3231.0-2.31291::g.17219 ORF type:complete len:377 (+) c29779_g1_i1-Cluster-3231.0-2.31291:137-1267(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.5978260869565217,92,0,285,376,0,1,92,6.23304e-38,312.0
Gene.8452::c30001_g1_i1-Cluster-5063.25006-2.83104::g.8452::m.8452 Gene.8452::c30001_g1_i1-Cluster-5063.25006-2.83104::g.8452 ORF type:5prime_partial len:105 (-) c30001_g1_i1-Cluster-5063.25006-2.83104:736-1050(-),105,0.7047619047619048,Cnem104312 ,73,0.9452054794520548,0.35135135135135137,74,5,12,85,0,1,69,4.33123e-11,111.0
Gene.14285::c31532_g1_i1-Cluster-5063.20326-3.8525::g.14285::m.14285 Gene.14285::c31532_g1_i1-Cluster-5063.20326-3.8525::g.14285 ORF type:complete len:395 (+) c31532_g1_i1-Cluster-5063.20326-3.8525:70-1254(+),395,0.23544303797468355,Cnem943 ,92,0.8804347826086957,0.41935483870967744,93,12,290,382,0,3,83,8.19575e-21,193.0
Gene.3736::c31984_g1_i1-Cluster-5063.21390-9.66351::g.3736::m.3736 Gene.3736::c31984_g1_i1-Cluster-5063.21390-9.66351::g.3736 ORF type:complete len:442 (-) c31984_g1_i1-Cluster-5063.21390-9.66351:799-2124(-),442,0.8438914027149321,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8884120171673819,0.39663461538461536,416,45,65,437,0,44,457,9.19208e-98,752.0
