query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.5298::c29700_g1_i1-Cluster-19579.0-4.52524::g.5298::m.5298 Gene.5298::c29700_g1_i1-Cluster-19579.0-4.52524::g.5298 ORF type:5prime_partial len:306 (-) c29700_g1_i1-Cluster-19579.0-4.52524:3-920(-),306,0.6143790849673203,Cnem450 ,198,0.9141414141414141,0.5851063829787234,188,7,118,305,0,18,198,1.63812e-70,534.0
Gene.19465::c43389_g1_i1-Cluster-11941.5214-3.27911::g.19465::m.19465 Gene.19465::c43389_g1_i1-Cluster-11941.5214-3.27911::g.19465 ORF type:complete len:371 (-) c43389_g1_i1-Cluster-11941.5214-3.27911:82-1194(-),371,0.24528301886792453,Cnem943 ,92,1.0,0.5543478260869565,92,1,280,370,0,1,92,3.07715e-32,273.0
Gene.29417::c50467_g1_i1-Cluster-4840.0-10.1969::g.29417::m.29417 Gene.29417::c50467_g1_i1-Cluster-4840.0-10.1969::g.29417 ORF type:5prime_partial len:165 (+) c50467_g1_i1-Cluster-4840.0-10.1969:1-495(+),165,0.5575757575757576,Cnem943 ,92,1.0,0.9456521739130435,92,0,73,164,0,1,92,1.31423e-65,478.0
Gene.16623::c53126_g1_i1-Cluster-2938.0-4.31813::g.16623::m.16623 Gene.16623::c53126_g1_i1-Cluster-2938.0-4.31813::g.16623 ORF type:5prime_partial len:250 (-) c53126_g1_i1-Cluster-2938.0-4.31813:5-754(-),250,0.74,Cnem1323 ,206,0.9271844660194175,0.3541666666666667,192,8,3,187,0,1,191,8.03098e-36,299.0
Gene.3922::c61485_g1_i1-Cluster-11941.6877-2.85322::g.3922::m.3922 Gene.3922::c61485_g1_i1-Cluster-11941.6877-2.85322::g.3922 ORF type:3prime_partial len:478 (+) c61485_g1_i1-Cluster-11941.6877-2.85322:86-1516(+),477,0.6289308176100629,Cnem2858 ,314,0.9522292993630573,0.5182724252491694,301,3,127,426,0,1,299,6.20911e-115,856.0
Gene.3922::c61485_g1_i1-Cluster-11941.6877-2.85322::g.3922::m.3922 Gene.3922::c61485_g1_i1-Cluster-11941.6877-2.85322::g.3922 ORF type:3prime_partial len:478 (+) c61485_g1_i1-Cluster-11941.6877-2.85322:86-1516(+),477,0.5534591194968553,Cnem58150 ,262,0.9961832061068703,0.4,265,5,52,315,0,1,261,2.1659e-62,500.0
Gene.29672::c63292_g1_i1-Cluster-11941.7130-4.01051::g.29672::m.29672 Gene.29672::c63292_g1_i1-Cluster-11941.7130-4.01051::g.29672 ORF type:3prime_partial len:474 (+) c63292_g1_i1-Cluster-11941.7130-4.01051:149-1567(+),473,0.5369978858350951,Cnem58150 ,262,0.9618320610687023,0.47244094488188976,254,2,51,304,0,1,252,5.54099e-83,638.0
Gene.29672::c63292_g1_i1-Cluster-11941.7130-4.01051::g.29672::m.29672 Gene.29672::c63292_g1_i1-Cluster-11941.7130-4.01051::g.29672 ORF type:3prime_partial len:474 (+) c63292_g1_i1-Cluster-11941.7130-4.01051:149-1567(+),473,0.6109936575052854,Cnem2858 ,314,0.8980891719745223,0.3689655172413793,290,9,129,417,0,2,283,1.2842e-59,485.0
Gene.26018::c63353_g1_i1-Cluster-228.0-6.29629::g.26018::m.26018 Gene.26018::c63353_g1_i1-Cluster-228.0-6.29629::g.26018 ORF type:internal len:416 (-) c63353_g1_i1-Cluster-228.0-6.29629:1-1245(-),415,0.5855421686746988,Cnem58150 ,262,0.9274809160305344,0.40408163265306124,245,4,62,304,0,4,246,1.07005e-54,443.0
Gene.26018::c63353_g1_i1-Cluster-228.0-6.29629::g.26018::m.26018 Gene.26018::c63353_g1_i1-Cluster-228.0-6.29629::g.26018 ORF type:internal len:416 (-) c63353_g1_i1-Cluster-228.0-6.29629:1-1245(-),415,0.5903614457831325,Cnem2858 ,314,0.7802547770700637,0.375,248,6,137,381,0,2,246,8.316e-52,428.0
Gene.10892::c65256_g1_i1-Cluster-11941.22205-14.0867::g.10892::m.10892 Gene.10892::c65256_g1_i1-Cluster-11941.22205-14.0867::g.10892 ORF type:complete len:419 (-) c65256_g1_i1-Cluster-11941.22205-14.0867:1405-2661(-),419,0.26014319809069214,Cnem943 ,92,1.0,0.3761467889908257,109,17,306,414,0,1,92,6.99905e-21,194.0
Gene.26322::c66049_g1_i2-Cluster-11941.6811-5.28059::g.26322::m.26322 Gene.26322::c66049_g1_i2-Cluster-11941.6811-5.28059::g.26322 ORF type:internal len:496 (+) c66049_g1_i2-Cluster-11941.6811-5.28059:2-1486(+),495,0.1191919191919192,Cnem104312 ,73,0.821917808219178,0.36065573770491804,61,3,210,268,0,1,60,4.17966e-07,92.0
Gene.29771::c66201_g2_i2-Cluster-11941.22863-4.6185::g.29771::m.29771 Gene.29771::c66201_g2_i2-Cluster-11941.22863-4.6185::g.29771 ORF type:5prime_partial len:1133 (-) c66201_g2_i2-Cluster-11941.22863-4.6185:483-3881(-),1133,0.1412180052956752,Cnem21112 ,174,0.9022988505747126,0.4484848484848485,165,13,924,1083,0,1,157,1.63556e-22,217.0
Gene.27803::c66224_g1_i1-Cluster-11941.22090-7.39583::g.27803::m.27803 Gene.27803::c66224_g1_i1-Cluster-11941.22090-7.39583::g.27803 ORF type:complete len:516 (-) c66224_g1_i1-Cluster-11941.22090-7.39583:251-1798(-),516,0.998062015503876,Cnem1237 ,518,1.0,0.915057915057915,518,3,1,515,0,1,518,0.0,2548.0
Gene.15439::c66395_g1_i2-Cluster-11941.16075-13.2787::g.15439::m.15439 Gene.15439::c66395_g1_i2-Cluster-11941.16075-13.2787::g.15439 ORF type:complete len:204 (-) c66395_g1_i2-Cluster-11941.16075-13.2787:80-691(-),204,0.5686274509803921,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.785234899328859,0.4017094017094017,117,1,27,142,0,27,143,3.17183e-31,259.0
Gene.10950::c66497_g1_i1-Cluster-11941.17883-66.7919::g.10950::m.10950 Gene.10950::c66497_g1_i1-Cluster-11941.17883-66.7919::g.10950 ORF type:3prime_partial len:499 (+) c66497_g1_i1-Cluster-11941.17883-66.7919:66-1559(+),498,0.8714859437751004,Cnem572 ,450,0.96,0.5253456221198156,434,2,51,484,0,13,444,5.22045e-158,1156.0
Gene.23999::c66730_g1_i1-Cluster-11941.16340-11.3881::g.23999::m.23999 Gene.23999::c66730_g1_i1-Cluster-11941.16340-11.3881::g.23999 ORF type:complete len:396 (-) c66730_g1_i1-Cluster-11941.16340-11.3881:415-1602(-),396,0.25,Cnem943 ,92,0.9456521739130435,0.40404040404040403,99,12,290,388,0,3,89,7.27169e-22,201.0
Gene.4416::c66922_g1_i1-Cluster-11941.20872-203.868::g.4416::m.4416 Gene.4416::c66922_g1_i1-Cluster-11941.20872-203.868::g.4416 ORF type:complete len:175 (-) c66922_g1_i1-Cluster-11941.20872-203.868:95-619(-),175,0.8285714285714286,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9328859060402684,0.3581081081081081,148,12,1,145,0,1,139,1.37123e-26,226.0
Gene.5151::c66946_g1_i1-Cluster-11941.11465-50.1933::g.5151::m.5151 Gene.5151::c66946_g1_i1-Cluster-11941.11465-50.1933::g.5151 ORF type:5prime_partial len:220 (-) c66946_g1_i1-Cluster-11941.11465-50.1933:57-716(-),220,0.9045454545454545,Cnem450 ,198,1.0,0.6231155778894473,199,1,21,219,0,1,198,9.12243e-85,620.0
Gene.16864::c67639_g1_i2-Cluster-11941.9422-8.96193::g.16864::m.16864 Gene.16864::c67639_g1_i2-Cluster-11941.9422-8.96193::g.16864 ORF type:complete len:564 (+) c67639_g1_i2-Cluster-11941.9422-8.96193:221-1912(+),564,0.35106382978723405,Cnem6176 ,235,0.8808510638297873,0.4375,208,11,364,561,0,28,234,6.74505e-57,465.0
Gene.20676::c68391_g1_i1-Cluster-11941.18780-284.703::g.20676::m.20676 Gene.20676::c68391_g1_i1-Cluster-11941.18780-284.703::g.20676 ORF type:complete len:595 (+) c68391_g1_i1-Cluster-11941.18780-284.703:144-1928(+),595,0.9697478991596639,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.9792387543252595,0.5528596187175043,577,11,17,593,0,12,577,0.0,1663.0
Gene.20676::c68391_g1_i1-Cluster-11941.18780-284.703::g.20676::m.20676 Gene.20676::c68391_g1_i1-Cluster-11941.18780-284.703::g.20676 ORF type:complete len:595 (+) c68391_g1_i1-Cluster-11941.18780-284.703:144-1928(+),595,0.7361344537815127,Cnem572 ,450,0.9666666666666667,0.5730593607305936,438,3,17,454,0,14,448,3.21783e-176,1286.0
Gene.21292::c68854_g1_i2-Cluster-11941.3745-15.3683::g.21292::m.21292 Gene.21292::c68854_g1_i2-Cluster-11941.3745-15.3683::g.21292 ORF type:5prime_partial len:395 (-) c68854_g1_i2-Cluster-11941.3745-15.3683:390-1574(-),395,0.610126582278481,Cnem58150 ,262,0.9198473282442748,0.4344262295081967,244,6,53,293,0,4,244,1.89981e-57,460.0
Gene.19108::c69057_g2_i1-Cluster-11941.18932-9.31681::g.19108::m.19108 Gene.19108::c69057_g2_i1-Cluster-11941.18932-9.31681::g.19108 ORF type:3prime_partial len:507 (-) c69057_g2_i1-Cluster-11941.18932-9.31681:2-1519(-),506,0.8280632411067194,Cnem572 ,450,0.9177777777777778,0.3586698337292161,421,10,48,466,0,15,427,2.84932e-71,577.0
Gene.11133::c69119_g1_i1-Cluster-11941.10096-8.45664::g.11133::m.11133 Gene.11133::c69119_g1_i1-Cluster-11941.10096-8.45664::g.11133 ORF type:complete len:427 (+) c69119_g1_i1-Cluster-11941.10096-8.45664:147-1427(+),427,0.21779859484777517,Cnem943 ,92,0.9782608695652174,0.5268817204301075,93,3,333,425,0,2,91,9.73565e-34,286.0
Gene.28841::c69181_g1_i5-Cluster-11941.16523-12.9238::g.28841::m.28841 Gene.28841::c69181_g1_i5-Cluster-11941.16523-12.9238::g.28841 ORF type:complete len:543 (+) c69181_g1_i5-Cluster-11941.16523-12.9238:332-1960(+),543,0.998158379373849,Cnem7323 ,543,0.994475138121547,0.7398523985239852,542,2,1,542,0,4,543,0.0,2279.0
Gene.11245::c69423_g1_i1-Cluster-11941.17215-14.6057::g.11245::m.11245 Gene.11245::c69423_g1_i1-Cluster-11941.17215-14.6057::g.11245 ORF type:complete len:419 (+) c69423_g1_i1-Cluster-11941.17215-14.6057:130-1386(+),419,0.5536992840095465,Cnem7508 ,241,0.8713692946058091,0.4163265306122449,245,48,183,414,0,29,238,2.92399e-56,452.0
Gene.11245::c69423_g1_i1-Cluster-11941.17215-14.6057::g.11245::m.11245 Gene.11245::c69423_g1_i1-Cluster-11941.17215-14.6057::g.11245 ORF type:complete len:419 (+) c69423_g1_i1-Cluster-11941.17215-14.6057:130-1386(+),419,0.47494033412887826,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.8106995884773662,0.4265402843601896,211,26,168,366,0,17,213,2.03115e-46,386.0
Gene.19980::c69575_g1_i4-Cluster-11941.15648-37.9869::g.19980::m.19980 Gene.19980::c69575_g1_i4-Cluster-11941.15648-37.9869::g.19980 ORF type:5prime_partial len:496 (-) c69575_g1_i4-Cluster-11941.15648-37.9869:298-1785(-),496,0.33064516129032256,Cnem821 ,215,0.7627906976744186,0.4121212121212121,165,2,130,293,0,37,200,1.23609e-38,333.0
