query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.3859::c10302_g1_i1-Cluster-328.0-10.2479::g.3859::m.3859 Gene.3859::c10302_g1_i1-Cluster-328.0-10.2479::g.3859 ORF type:complete len:284 (-) c10302_g1_i1-Cluster-328.0-10.2479:2646-3497(-),284,0.9612676056338029,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.9887640449438202,0.45985401459854014,274,11,1,273,0,1,264,5.494e-76,575.0
Gene.9674::c1264_g1_i1-Cluster-16403.0-2.83605::g.9674::m.9674 Gene.9674::c1264_g1_i1-Cluster-16403.0-2.83605::g.9674 ORF type:complete len:189 (-) c1264_g1_i1-Cluster-16403.0-2.83605:169-735(-),189,0.48148148148148145,Cnem943 ,92,0.967391304347826,0.46153846153846156,91,2,77,167,0,1,89,5.52639e-29,239.0
Gene.1089::c39709_g1_i1-Cluster-16396.13508-208.454::g.1089::m.1089 Gene.1089::c39709_g1_i1-Cluster-16396.13508-208.454::g.1089 ORF type:complete len:412 (+) c39709_g1_i1-Cluster-16396.13508-208.454:475-1710(+),412,0.9393203883495146,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.927038626609442,0.4097222222222222,432,45,22,408,0,30,461,8.72893e-106,803.0
Gene.2612::c43385_g1_i1-Cluster-16396.15958-2008.24::g.2612::m.2612 Gene.2612::c43385_g1_i1-Cluster-16396.15958-2008.24::g.2612 ORF type:complete len:453 (+) c43385_g1_i1-Cluster-16396.15958-2008.24:196-1554(+),453,0.9867549668874173,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.7647058823529411,0.6532438478747203,447,5,6,452,0,11,452,0.0,1515.0
Gene.2612::c43385_g1_i1-Cluster-16396.15958-2008.24::g.2612::m.2612 Gene.2612::c43385_g1_i1-Cluster-16396.15958-2008.24::g.2612 ORF type:complete len:453 (+) c43385_g1_i1-Cluster-16396.15958-2008.24:196-1554(+),453,0.9889624724061811,Cnem572 ,450,0.98,0.64,450,11,3,450,0,10,450,0.0,1467.0
Gene.4978::c43495_g1_i1-Cluster-16396.21402-458.114::g.4978::m.4978 Gene.4978::c43495_g1_i1-Cluster-16396.21402-458.114::g.4978 ORF type:5prime_partial len:130 (-) c43495_g1_i1-Cluster-16396.21402-458.114:50-439(-),130,0.8769230769230769,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.785234899328859,0.38461538461538464,117,3,2,115,0,32,148,2.31821e-23,200.0
Gene.2652::c43570_g1_i1-Cluster-16396.20437-36.6972::g.2652::m.2652 Gene.2652::c43570_g1_i1-Cluster-16396.20437-36.6972::g.2652 ORF type:5prime_partial len:520 (+) c43570_g1_i1-Cluster-16396.20437-36.6972:2-1561(+),520,0.9865384615384616,Cnem1237 ,518,1.0,0.925,520,9,7,519,0,1,518,0.0,2572.0
Gene.17442::c43734_g1_i1-Cluster-16396.8565-138.1::g.17442::m.17442 Gene.17442::c43734_g1_i1-Cluster-16396.8565-138.1::g.17442 ORF type:3prime_partial len:353 (+) c43734_g1_i1-Cluster-16396.8565-138.1:202-1257(+),352,0.4034090909090909,Cnem169764 ,185,0.7675675675675676,0.7535211267605634,142,0,69,210,0,44,185,1.85667e-73,557.0
Gene.3687::c44727_g9_i2-Cluster-16396.19857-14.5793::g.3687::m.3687 Gene.3687::c44727_g9_i2-Cluster-16396.19857-14.5793::g.3687 ORF type:complete len:377 (+) c44727_g9_i2-Cluster-16396.19857-14.5793:96-1226(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.6086956521739131,92,0,285,376,0,1,92,3.074e-38,314.0
Gene.18129::c45149_g1_i1-Cluster-16396.16295-87.6916::g.18129::m.18129 Gene.18129::c45149_g1_i1-Cluster-16396.16295-87.6916::g.18129 ORF type:complete len:418 (-) c45149_g1_i1-Cluster-16396.16295-87.6916:2332-3585(-),418,0.2607655502392344,Cnem943 ,92,1.0,0.3761467889908257,109,17,305,413,0,1,92,6.55989e-21,194.0
Gene.9134::c45491_g3_i2-Cluster-16396.14969-548.463::g.9134::m.9134 Gene.9134::c45491_g3_i2-Cluster-16396.14969-548.463::g.9134 ORF type:3prime_partial len:344 (-) c45491_g3_i2-Cluster-16396.14969-548.463:2-1030(-),343,0.9416909620991254,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.778969957081545,0.45179063360881544,363,40,21,343,0,34,396,8.96947e-104,782.0
Gene.2029::c46068_g3_i1-Cluster-16396.21306-42.0196::g.2029::m.2029 Gene.2029::c46068_g3_i1-Cluster-16396.21306-42.0196::g.2029 ORF type:5prime_partial len:135 (-) c46068_g3_i1-Cluster-16396.21306-42.0196:223-627(-),135,0.6814814814814815,Cnem943 ,92,1.0,0.9347826086956522,92,0,43,134,0,1,92,2.14581e-64,466.0
Gene.6694::c46557_g1_i2-Cluster-16396.17103-959.71::g.6694::m.6694 Gene.6694::c46557_g1_i2-Cluster-16396.17103-959.71::g.6694 ORF type:complete len:406 (-) c46557_g1_i2-Cluster-16396.17103-959.71:115-1332(-),406,0.9285714285714286,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8969957081545065,0.39856801909307876,419,43,27,403,0,40,457,1.24716e-103,788.0
