query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.16241::c10044_g1_i1-Cluster-6594.0-3.20835::g.16241::m.16241 Gene.16241::c10044_g1_i1-Cluster-6594.0-3.20835::g.16241 ORF type:internal len:219 (+) c10044_g1_i1-Cluster-6594.0-3.20835:1-654(+),218,0.7889908256880734,Cnem1188 ,179,0.9553072625698324,0.5028901734104047,173,3,13,184,0,9,179,2.3633e-57,437.0
Gene.16363::c18522_g1_i1-Cluster-11098.15497-37.9449::g.16363::m.16363 Gene.16363::c18522_g1_i1-Cluster-11098.15497-37.9449::g.16363 ORF type:complete len:428 (-) c18522_g1_i1-Cluster-11098.15497-37.9449:49-1332(-),428,0.21728971962616822,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,334,426,0,2,91,5.96079e-32,273.0
Gene.15615::c28304_g1_i1-Cluster-11098.19364-48.8735::g.15615::m.15615 Gene.15615::c28304_g1_i1-Cluster-11098.19364-48.8735::g.15615 ORF type:complete len:516 (-) c28304_g1_i1-Cluster-11098.19364-48.8735:188-1735(-),516,0.2751937984496124,Cnem169764 ,185,0.7675675675675676,0.6901408450704225,142,0,78,219,0,44,185,2.21794e-65,515.0
Gene.18779::c28570_g2_i1-Cluster-11098.9532-2.5014::g.18779::m.18779 Gene.18779::c28570_g2_i1-Cluster-11098.9532-2.5014::g.18779 ORF type:complete len:246 (-) c28570_g2_i1-Cluster-11098.9532-2.5014:186-923(-),246,0.9349593495934959,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.8426966292134831,0.47435897435897434,234,13,4,233,0,41,265,5.81027e-67,511.0
Gene.12899::c30203_g3_i1-Cluster-7915.2-5.34621::g.12899::m.12899 Gene.12899::c30203_g3_i1-Cluster-7915.2-5.34621::g.12899 ORF type:5prime_partial len:394 (-) c30203_g3_i1-Cluster-7915.2-5.34621:126-1307(-),394,0.8248730964467005,Cnem101824 ,418,0.777511961722488,0.38109756097560976,328,6,62,386,0,1,325,2.03453e-84,654.0
Gene.3976::c30461_g1_i2-Cluster-13345.0-2.17395::g.3976::m.3976 Gene.3976::c30461_g1_i2-Cluster-13345.0-2.17395::g.3976 ORF type:5prime_partial len:383 (-) c30461_g1_i2-Cluster-13345.0-2.17395:290-1438(-),383,0.4960835509138381,Cnem1323 ,206,0.9563106796116505,0.467005076142132,197,7,187,376,0,1,197,7.17312e-66,511.0
Gene.8404::c30762_g1_i1-Cluster-4757.0-3.23161::g.8404::m.8404 Gene.8404::c30762_g1_i1-Cluster-4757.0-3.23161::g.8404 ORF type:complete len:139 (-) c30762_g1_i1-Cluster-4757.0-3.23161:145-561(-),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.7518248175182481,137,0,1,137,0,19,155,3.46657e-77,557.0
Gene.26064::c3187_g1_i1-Cluster-11614.0-2.6981::g.26064::m.26064 Gene.26064::c3187_g1_i1-Cluster-11614.0-2.6981::g.26064 ORF type:5prime_partial len:227 (+) c3187_g1_i1-Cluster-11614.0-2.6981:2-682(+),227,0.8634361233480177,Cnem1323 ,206,0.970873786407767,0.3891625615763547,203,10,31,226,0,3,202,5.05803e-46,365.0
Gene.22536::c33101_g1_i2-Cluster-11098.22501-25.706::g.22536::m.22536 Gene.22536::c33101_g1_i2-Cluster-11098.22501-25.706::g.22536 ORF type:complete len:150 (+) c33101_g1_i2-Cluster-11098.22501-25.706:182-631(+),150,0.8866666666666667,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9194630872483222,0.36496350364963503,137,4,11,143,0,4,140,5.6548e-28,233.0
Gene.13731::c33930_g1_i1-Cluster-11098.23622-32.2775::g.13731::m.13731 Gene.13731::c33930_g1_i1-Cluster-11098.23622-32.2775::g.13731 ORF type:complete len:331 (+) c33930_g1_i1-Cluster-11098.23622-32.2775:268-1260(+),331,0.39274924471299094,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8926174496644296,0.3609022556390977,133,3,1,130,0,1,133,1.85546e-27,242.0
Gene.13731::c33930_g1_i1-Cluster-11098.23622-32.2775::g.13731::m.13731 Gene.13731::c33930_g1_i1-Cluster-11098.23622-32.2775::g.13731 ORF type:complete len:331 (+) c33930_g1_i1-Cluster-11098.23622-32.2775:268-1260(+),331,0.3685800604229607,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8322147651006712,0.3548387096774194,124,2,198,319,0,17,140,8.83429e-25,224.0
Gene.4035::c34941_g1_i1-Cluster-11098.17792-365.226::g.4035::m.4035 Gene.4035::c34941_g1_i1-Cluster-11098.17792-365.226::g.4035 ORF type:5prime_partial len:534 (+) c34941_g1_i1-Cluster-11098.17792-365.226:2-1603(+),534,0.3089887640449438,Cnem821 ,215,0.7674418604651163,0.45348837209302323,172,14,166,330,0,36,200,1.56968e-43,369.0
Gene.3041::c34972_g1_i1-Cluster-12562.0-19.6335::g.3041::m.3041 Gene.3041::c34972_g1_i1-Cluster-12562.0-19.6335::g.3041 ORF type:5prime_partial len:191 (+) c34972_g1_i1-Cluster-12562.0-19.6335:2-574(+),191,0.6387434554973822,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8389261744966443,0.4444444444444444,126,5,63,184,0,16,140,5.06379e-30,250.0
Gene.18439::c36444_g1_i1-Cluster-13475.1-2.43015::g.18439::m.18439 Gene.18439::c36444_g1_i1-Cluster-13475.1-2.43015::g.18439 ORF type:internal len:266 (-) c36444_g1_i1-Cluster-13475.1-2.43015:2-796(-),265,0.9811320754716981,Cnem20360 ,341,0.750733137829912,0.4372623574144487,263,10,6,265,0,52,307,3.5193e-58,460.0
Gene.10781::c36754_g4_i1-Cluster-11098.16559-3.8605::g.10781::m.10781 Gene.10781::c36754_g4_i1-Cluster-11098.16559-3.8605::g.10781 ORF type:internal len:503 (+) c36754_g4_i1-Cluster-11098.16559-3.8605:1-1506(+),502,0.4043824701195219,Cnem12941 ,214,0.9485981308411215,0.3864734299516908,207,8,104,306,0,12,214,2.3577e-26,245.0
Gene.27371::c37066_g1_i2-Cluster-11098.17226-50.6356::g.27371::m.27371 Gene.27371::c37066_g1_i2-Cluster-11098.17226-50.6356::g.27371 ORF type:complete len:622 (-) c37066_g1_i2-Cluster-11098.17226-50.6356:1881-3746(-),622,0.8938906752411575,Cnem3883 ,602,0.9235880398671097,0.9190647482014388,556,0,6,561,0,47,602,0.0,2778.0
Gene.23986::c37585_g1_i1-Cluster-9285.0-3.60864::g.23986::m.23986 Gene.23986::c37585_g1_i1-Cluster-9285.0-3.60864::g.23986 ORF type:3prime_partial len:320 (+) c37585_g1_i1-Cluster-9285.0-3.60864:131-1087(+),319,0.1724137931034483,Cnem104312 ,73,0.7671232876712328,0.40350877192982454,57,3,228,282,0,1,56,3.76254e-09,105.0
Gene.18867::c37760_g1_i2-Cluster-12547.1-4.37907::g.18867::m.18867 Gene.18867::c37760_g1_i2-Cluster-12547.1-4.37907::g.18867 ORF type:5prime_partial len:391 (+) c37760_g1_i2-Cluster-12547.1-4.37907:1-1173(+),391,0.9232736572890026,Cnem31170 ,464,0.7887931034482759,0.48509485094850946,369,11,27,387,0,99,464,2.52387e-129,957.0
Gene.18867::c37760_g1_i2-Cluster-12547.1-4.37907::g.18867::m.18867 Gene.18867::c37760_g1_i2-Cluster-12547.1-4.37907::g.18867 ORF type:5prime_partial len:391 (+) c37760_g1_i2-Cluster-12547.1-4.37907:1-1173(+),391,0.5319693094629157,Cnem1323 ,206,0.9902912621359223,0.44711538461538464,208,4,182,389,0,1,204,4.38282e-65,506.0
Gene.17928::c39574_g1_i5-Cluster-7395.0-14.2761::g.17928::m.17928 Gene.17928::c39574_g1_i5-Cluster-7395.0-14.2761::g.17928 ORF type:complete len:219 (-) c39574_g1_i5-Cluster-7395.0-14.2761:139-795(-),219,0.6118721461187214,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9060402684563759,0.37037037037037035,135,1,10,143,0,9,143,8.97952e-29,244.0
Gene.29013::c40617_g1_i1-Cluster-11098.9933-135.145::g.29013::m.29013 Gene.29013::c40617_g1_i1-Cluster-11098.9933-135.145::g.29013 ORF type:5prime_partial len:222 (-) c40617_g1_i1-Cluster-11098.9933-135.145:107-772(-),222,0.8963963963963963,Cnem450 ,198,1.0,0.6482412060301508,199,1,23,221,0,1,198,1.20161e-90,658.0
Gene.6745::c40855_g1_i1-Cluster-11098.25438-5.36929::g.6745::m.6745 Gene.6745::c40855_g1_i1-Cluster-11098.25438-5.36929::g.6745 ORF type:complete len:424 (-) c40855_g1_i1-Cluster-11098.25438-5.36929:99-1370(-),424,0.5683962264150944,Cnem58150 ,262,0.9274809160305344,0.42213114754098363,244,4,50,290,0,4,246,3.37106e-59,474.0
Gene.6745::c40855_g1_i1-Cluster-11098.25438-5.36929::g.6745::m.6745 Gene.6745::c40855_g1_i1-Cluster-11098.25438-5.36929::g.6745 ORF type:complete len:424 (-) c40855_g1_i1-Cluster-11098.25438-5.36929:99-1370(-),424,0.5849056603773585,Cnem2858 ,314,0.8439490445859873,0.3609022556390977,266,19,124,371,0,2,266,3.20394e-54,445.0
Gene.16269::c40939_g2_i1-Cluster-11098.15974-38.6511::g.16269::m.16269 Gene.16269::c40939_g2_i1-Cluster-11098.15974-38.6511::g.16269 ORF type:5prime_partial len:293 (+) c40939_g2_i1-Cluster-11098.15974-38.6511:2-880(+),293,0.6996587030716723,Cnem6176 ,235,0.9404255319148936,0.44,225,24,85,289,0,14,234,3.53046e-65,501.0
Gene.22624::c41603_g2_i2-Cluster-11098.13333-15.7955::g.22624::m.22624 Gene.22624::c41603_g2_i2-Cluster-11098.13333-15.7955::g.22624 ORF type:complete len:582 (-) c41603_g2_i2-Cluster-11098.13333-15.7955:108-1853(-),582,0.9226804123711341,Cnem7323 ,543,0.9760589318600368,0.7355679702048417,537,7,45,581,0,14,543,0.0,2237.0
Gene.14::c42127_g1_i1-Cluster-11098.11174-38.0327::g.14::m.14 Gene.14::c42127_g1_i1-Cluster-11098.11174-38.0327::g.14 ORF type:5prime_partial len:652 (+) c42127_g1_i1-Cluster-11098.11174-38.0327:2-1957(+),652,0.9325153374233128,Lsta_ME_v2_CLC_241 Lstag_sfc_5 ,645,0.931782945736434,0.44299674267100975,614,19,39,646,0,33,633,0.0,1383.0
Gene.28912::c44119_g1_i2-Cluster-11098.15215-31.333::g.28912::m.28912 Gene.28912::c44119_g1_i2-Cluster-11098.15215-31.333::g.28912 ORF type:complete len:419 (+) c44119_g1_i2-Cluster-11098.15215-31.333:108-1364(+),419,0.26014319809069214,Cnem943 ,92,1.0,0.3669724770642202,109,17,306,414,0,1,92,8.98834e-20,186.0
Gene.21656::c44684_g1_i5-Cluster-11098.27259-10.665::g.21656::m.21656 Gene.21656::c44684_g1_i5-Cluster-11098.27259-10.665::g.21656 ORF type:complete len:3783 (+) c44684_g1_i5-Cluster-11098.27259-10.665:110-11458(+),3783,0.01401004493787999,Cnem1504 ,77,0.8181818181818182,0.36507936507936506,63,10,3461,3513,0,13,75,0.00125526,73.0
Gene.27999::c45760_g6_i7-Cluster-11098.24450-12.4577::g.27999::m.27999 Gene.27999::c45760_g6_i7-Cluster-11098.24450-12.4577::g.27999 ORF type:5prime_partial len:529 (+) c45760_g6_i7-Cluster-11098.24450-12.4577:2-1588(+),529,0.33081285444234404,Cnem21112 ,174,0.8850574712643678,0.4431818181818182,176,23,303,477,0,4,157,1.27139e-20,200.0
Gene.23117::c45901_g5_i1-Cluster-11098.3271-36.612::g.23117::m.23117 Gene.23117::c45901_g5_i1-Cluster-11098.3271-36.612::g.23117 ORF type:complete len:377 (-) c45901_g5_i1-Cluster-11098.3271-36.612:490-1620(-),377,0.2440318302387268,Cnem943 ,92,1.0,0.6086956521739131,92,0,285,376,0,1,92,2.59637e-38,315.0
Gene.26404::c45903_g2_i2-Cluster-11098.24059-7.49967::g.26404::m.26404 Gene.26404::c45903_g2_i2-Cluster-11098.24059-7.49967::g.26404 ORF type:complete len:519 (-) c45903_g2_i2-Cluster-11098.24059-7.49967:478-2034(-),519,0.5009633911368016,Cnem58150 ,262,0.9961832061068703,0.4828897338403042,263,5,49,308,0,1,261,6.90055e-88,674.0
Gene.26404::c45903_g2_i2-Cluster-11098.24059-7.49967::g.26404::m.26404 Gene.26404::c45903_g2_i2-Cluster-11098.24059-7.49967::g.26404 ORF type:complete len:519 (-) c45903_g2_i2-Cluster-11098.24059-7.49967:478-2034(-),519,0.1811175337186898,Cnem2108 ,128,0.75,0.5416666666666666,96,2,342,435,0,2,97,1.00868e-28,256.0
Gene.4643::c46573_g1_i1-Cluster-11098.25735-44.9663::g.4643::m.4643 Gene.4643::c46573_g1_i1-Cluster-11098.25735-44.9663::g.4643 ORF type:complete len:396 (+) c46573_g1_i1-Cluster-11098.25735-44.9663:113-1300(+),396,0.25,Cnem943 ,92,0.9456521739130435,0.41414141414141414,99,12,290,388,0,3,89,1.69875e-22,205.0
