query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.16217::c110930_g1_i1-Cluster-17570.0-2.18005::g.16217::m.16217 Gene.16217::c110930_g1_i1-Cluster-17570.0-2.18005::g.16217 ORF type:5prime_partial len:251 (+) c110930_g1_i1-Cluster-17570.0-2.18005:2-754(+),251,0.6892430278884463,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.9025641025641026,0.3728813559322034,177,5,76,248,0,18,193,5.48454e-39,319.0
Gene.20741::c20928_g1_i1-Cluster-19863.0-2.0798::g.20741::m.20741 Gene.20741::c20928_g1_i1-Cluster-19863.0-2.0798::g.20741 ORF type:5prime_partial len:181 (+) c20928_g1_i1-Cluster-19863.0-2.0798:3-545(+),181,0.8674033149171271,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8307692307692308,0.35294117647058826,170,21,22,178,0,32,193,9.13125e-21,190.0
Gene.1201::c26710_g1_i1-Cluster-12227.0-6.12957::g.1201::m.1201 Gene.1201::c26710_g1_i1-Cluster-12227.0-6.12957::g.1201 ORF type:5prime_partial len:186 (-) c26710_g1_i1-Cluster-12227.0-6.12957:114-671(-),186,0.8064516129032258,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8,0.38461538461538464,156,6,34,183,0,38,193,2.68163e-30,255.0
Gene.17906::c27109_g1_i1-Cluster-11768.0-2.25652::g.17906::m.17906 Gene.17906::c27109_g1_i1-Cluster-11768.0-2.25652::g.17906 ORF type:5prime_partial len:211 (+) c27109_g1_i1-Cluster-11768.0-2.25652:2-634(+),211,0.3033175355450237,Cnem104312 ,73,0.8904109589041096,0.3787878787878788,66,3,105,168,0,1,65,2.78401e-08,97.0
Gene.9187::c34857_g1_i1-Cluster-7933.0-2.75124::g.9187::m.9187 Gene.9187::c34857_g1_i1-Cluster-7933.0-2.75124::g.9187 ORF type:5prime_partial len:209 (-) c34857_g1_i1-Cluster-7933.0-2.75124:206-832(-),209,0.7751196172248804,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8564102564102564,0.3727810650887574,169,9,42,203,0,27,193,1.76345e-34,285.0
Gene.23908::c41417_g1_i1-Cluster-17878.0-3.36433::g.23908::m.23908 Gene.23908::c41417_g1_i1-Cluster-17878.0-3.36433::g.23908 ORF type:5prime_partial len:269 (-) c41417_g1_i1-Cluster-17878.0-3.36433:41-847(-),269,0.5910780669144982,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8461538461538461,0.35542168674698793,166,8,108,266,0,29,193,3.68751e-30,261.0
Gene.18857::c43699_g1_i1-Cluster-4004.0-4.51304::g.18857::m.18857 Gene.18857::c43699_g1_i1-Cluster-4004.0-4.51304::g.18857 ORF type:5prime_partial len:185 (+) c43699_g1_i1-Cluster-4004.0-4.51304:1-555(+),185,0.8756756756756757,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.841025641025641,0.3696969696969697,165,4,21,182,0,30,193,2.16153e-31,262.0
Gene.27008::c46262_g1_i1-Cluster-0.19303-4.18299::g.27008::m.27008 Gene.27008::c46262_g1_i1-Cluster-0.19303-4.18299::g.27008 ORF type:5prime_partial len:366 (-) c46262_g1_i1-Cluster-0.19303-4.18299:193-1290(-),366,0.4972677595628415,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8974358974358975,0.3548387096774194,186,15,179,360,0,18,192,2.91197e-29,260.0
Gene.931::c51675_g1_i1-Cluster-9771.1-3.29537::g.931::m.931 Gene.931::c51675_g1_i1-Cluster-9771.1-3.29537::g.931 ORF type:5prime_partial len:252 (+) c51675_g1_i1-Cluster-9771.1-3.29537:2-757(+),252,0.6825396825396826,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.9230769230769231,0.3825136612021858,183,14,78,249,0,14,193,3.82421e-34,287.0
Gene.16437::c52979_g1_i1-Cluster-18563.0-4.74791::g.16437::m.16437 Gene.16437::c52979_g1_i1-Cluster-18563.0-4.74791::g.16437 ORF type:5prime_partial len:146 (-) c52979_g1_i1-Cluster-18563.0-4.74791:63-500(-),146,0.3972602739726027,Cnem104312 ,73,0.8082191780821918,0.36666666666666664,60,3,58,115,0,1,59,2.84505e-07,88.0
