query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.10465::TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521::g.10465::m.10465 Gene.10465::TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521::g.10465 ORF type:complete len:420 (-) TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521:258-1517(-),420,0.5880952380952381,Cnem2858 ,314,0.7802547770700637,0.38095238095238093,252,12,165,411,0,2,246,1.92813e-57,466.0
Gene.10465::TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521::g.10465::m.10465 Gene.10465::TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521::g.10465 ORF type:complete len:420 (-) TRINITY_DN21325_c0_g1_i2-Cluster-49664.0-6.59521:258-1517(-),420,0.5714285714285714,Cnem58150 ,262,0.9274809160305344,0.3967611336032389,247,11,89,328,0,4,246,5.97106e-52,425.0
Gene.17621::TRINITY_DN23024_c0_g1_i1-Cluster-7897.0-10.9719::g.17621::m.17621 Gene.17621::TRINITY_DN23024_c0_g1_i1-Cluster-7897.0-10.9719::g.17621 ORF type:complete len:377 (-) TRINITY_DN23024_c0_g1_i1-Cluster-7897.0-10.9719:330-1460(-),377,0.23872679045092837,Cnem943 ,92,0.9782608695652174,0.6111111111111112,90,0,285,374,0,1,90,1.866e-37,309.0
Gene.20012::TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094::g.20012::m.20012 Gene.20012::TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094::g.20012 ORF type:5prime_partial len:546 (+) TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094:3-1640(+),546,0.9652014652014652,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.916955017301038,0.7528301886792453,530,3,19,545,0,49,578,0.0,2146.0
Gene.20012::TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094::g.20012::m.20012 Gene.20012::TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094::g.20012 ORF type:5prime_partial len:546 (+) TRINITY_DN26453_c0_g1_i1-Cluster-33998.2-914.094:3-1640(+),546,0.7655677655677655,Cnem572 ,450,0.9288888888888889,0.7703349282296651,418,0,3,420,0,33,450,0.0,1662.0
Gene.34013::TRINITY_DN26639_c0_g2_i1-Cluster-46441.0-56.0324::g.34013::m.34013 Gene.34013::TRINITY_DN26639_c0_g2_i1-Cluster-46441.0-56.0324::g.34013 ORF type:complete len:414 (-) TRINITY_DN26639_c0_g2_i1-Cluster-46441.0-56.0324:366-1607(-),414,0.9975845410628019,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9828326180257511,0.4090909090909091,462,53,1,413,0,1,458,3.1492e-118,886.0
Gene.35932::TRINITY_DN28880_c0_g1_i2-Cluster-25740.0-15.8627::g.35932::m.35932 Gene.35932::TRINITY_DN28880_c0_g1_i2-Cluster-25740.0-15.8627::g.35932 ORF type:complete len:328 (+) TRINITY_DN28880_c0_g1_i2-Cluster-25740.0-15.8627:209-1192(+),328,0.17682926829268292,Cnem104312 ,73,0.8082191780821918,0.36666666666666664,60,3,229,286,0,1,59,3.9475e-07,91.0
Gene.3580::TRINITY_DN29872_c0_g1_i1-Cluster-51045.1-2864.56::g.3580::m.3580 Gene.3580::TRINITY_DN29872_c0_g1_i1-Cluster-51045.1-2864.56::g.3580 ORF type:5prime_partial len:433 (-) TRINITY_DN29872_c0_g1_i1-Cluster-51045.1-2864.56:466-1764(-),433,0.8914549653579676,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9012875536480687,0.3840749414519906,427,48,45,430,0,38,457,1.33033e-95,737.0
Gene.28457::TRINITY_DN30443_c0_g2_i1-Cluster-21985.0-55.6702::g.28457::m.28457 Gene.28457::TRINITY_DN30443_c0_g2_i1-Cluster-21985.0-55.6702::g.28457 ORF type:3prime_partial len:242 (+) TRINITY_DN30443_c0_g2_i1-Cluster-21985.0-55.6702:182-904(+),241,0.966804979253112,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.8426966292134831,0.452991452991453,234,10,9,241,0,8,232,2.20025e-65,500.0
Gene.13291::TRINITY_DN30517_c0_g2_i1-Cluster-25880.0-229.623::g.13291::m.13291 Gene.13291::TRINITY_DN30517_c0_g2_i1-Cluster-25880.0-229.623::g.13291 ORF type:internal len:591 (-) TRINITY_DN30517_c0_g2_i1-Cluster-25880.0-229.623:3-1772(-),590,0.7898305084745763,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.7750865051903114,0.3865546218487395,476,38,113,578,0,60,507,1.84391e-88,711.0
