query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.12650::TRINITY_DN23532_c0_g1_i1-Cluster-5297.0-2.59896::g.12650::m.12650 Gene.12650::TRINITY_DN23532_c0_g1_i1-Cluster-5297.0-2.59896::g.12650 ORF type:5prime_partial len:351 (-) TRINITY_DN23532_c0_g1_i1-Cluster-5297.0-2.59896:33-1085(-),351,0.5641025641025641,Cnem1323 ,206,0.9757281553398058,0.40487804878048783,205,11,147,344,0,3,203,2.0525e-47,385.0
Gene.19486::TRINITY_DN28984_c0_g1_i1-Cluster-1096.0-2.01605::g.19486::m.19486 Gene.19486::TRINITY_DN28984_c0_g1_i1-Cluster-1096.0-2.01605::g.19486 ORF type:5prime_partial len:159 (-) TRINITY_DN28984_c0_g1_i1-Cluster-1096.0-2.01605:327-803(-),159,0.36477987421383645,Cnem104312 ,73,0.7808219178082192,0.39655172413793105,58,1,98,155,0,1,57,1.0768e-10,112.0
Gene.3662::TRINITY_DN29445_c0_g1_i1-Cluster-2602.20026-375.071::g.3662::m.3662 Gene.3662::TRINITY_DN29445_c0_g1_i1-Cluster-2602.20026-375.071::g.3662 ORF type:complete len:147 (+) TRINITY_DN29445_c0_g1_i1-Cluster-2602.20026-375.071:165-605(+),147,0.8979591836734694,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9395973154362416,0.37142857142857144,140,8,1,132,0,1,140,5.04914e-26,220.0
Gene.10439::TRINITY_DN31660_c0_g1_i1-Cluster-2602.17211-811.234::g.10439::m.10439 Gene.10439::TRINITY_DN31660_c0_g1_i1-Cluster-2602.17211-811.234::g.10439 ORF type:complete len:377 (+) TRINITY_DN31660_c0_g1_i1-Cluster-2602.17211-811.234:327-1457(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.967391304347826,92,0,285,376,0,1,92,7.47232e-63,480.0
Gene.1836::TRINITY_DN31660_c0_g1_i2-Cluster-2602.17565-401.876::g.1836::m.1836 Gene.1836::TRINITY_DN31660_c0_g1_i2-Cluster-2602.17565-401.876::g.1836 ORF type:complete len:377 (+) TRINITY_DN31660_c0_g1_i2-Cluster-2602.17565-401.876:379-1509(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.9456521739130435,92,0,285,376,0,1,92,1.25473e-62,478.0
Gene.5580::TRINITY_DN31857_c0_g1_i1-Cluster-2602.14952-150.902::g.5580::m.5580 Gene.5580::TRINITY_DN31857_c0_g1_i1-Cluster-2602.14952-150.902::g.5580 ORF type:complete len:411 (+) TRINITY_DN31857_c0_g1_i1-Cluster-2602.14952-150.902:294-1526(+),411,0.9416058394160584,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.927038626609442,0.41203703703703703,432,45,21,407,0,30,461,1.87756e-105,800.0
Gene.5229::TRINITY_DN32566_c0_g1_i1-Cluster-2602.23917-2.15102::g.5229::m.5229 Gene.5229::TRINITY_DN32566_c0_g1_i1-Cluster-2602.23917-2.15102::g.5229 ORF type:complete len:139 (-) TRINITY_DN32566_c0_g1_i1-Cluster-2602.23917-2.15102:239-655(-),139,0.9928057553956835,Cnem28994 ,156,0.8846153846153846,0.7681159420289855,138,0,1,138,0,19,156,2.14144e-78,565.0
Gene.13281::TRINITY_DN32644_c0_g1_i1-Cluster-2602.18132-6.27788::g.13281::m.13281 Gene.13281::TRINITY_DN32644_c0_g1_i1-Cluster-2602.18132-6.27788::g.13281 ORF type:complete len:377 (+) TRINITY_DN32644_c0_g1_i1-Cluster-2602.18132-6.27788:116-1246(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.6086956521739131,92,0,285,376,0,1,92,3.074e-38,314.0
Gene.5781::TRINITY_DN33767_c0_g1_i1-Cluster-2602.4936-18.4622::g.5781::m.5781 Gene.5781::TRINITY_DN33767_c0_g1_i1-Cluster-2602.4936-18.4622::g.5781 ORF type:5prime_partial len:402 (-) TRINITY_DN33767_c0_g1_i1-Cluster-2602.4936-18.4622:81-1286(-),402,0.21393034825870647,Cnem943 ,92,0.9347826086956522,0.36046511627906974,86,0,314,399,0,5,90,1.09629e-14,148.0
Gene.10846::TRINITY_DN33807_c0_g1_i3-Cluster-3970.0-1.59272::g.10846::m.10846 Gene.10846::TRINITY_DN33807_c0_g1_i3-Cluster-3970.0-1.59272::g.10846 ORF type:complete len:259 (-) TRINITY_DN33807_c0_g1_i3-Cluster-3970.0-1.59272:167-943(-),259,0.667953667953668,Cnem450 ,198,0.8181818181818182,0.5287356321839081,174,13,85,257,0,37,198,1.79717e-61,470.0
