query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.10398::TRINITY_DN41032_c0_g1_i1-Cluster-8929.0-3.22241::g.10398::m.10398 Gene.10398::TRINITY_DN41032_c0_g1_i1-Cluster-8929.0-3.22241::g.10398 ORF type:complete len:139 (-) TRINITY_DN41032_c0_g1_i1-Cluster-8929.0-3.22241:116-532(-),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.6934306569343066,137,0,1,137,0,19,155,8.60273e-76,548.0
Gene.1099::TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454::g.1099::m.1099 Gene.1099::TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454::g.1099 ORF type:5prime_partial len:442 (-) TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454:436-1761(-),442,0.8552036199095022,Cnem31170 ,464,0.7780172413793104,0.49206349206349204,378,17,61,438,0,104,464,2.18236e-138,1022.0
Gene.1099::TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454::g.1099::m.1099 Gene.1099::TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454::g.1099 ORF type:5prime_partial len:442 (-) TRINITY_DN43367_c0_g1_i1-Cluster-14429.4-6.63454:436-1761(-),442,0.45475113122171945,Cnem1323 ,206,0.9757281553398058,0.4630541871921182,203,4,240,440,0,4,204,3.69212e-64,504.0
Gene.7076::TRINITY_DN49792_c0_g1_i1-Cluster-6659.0-9.70394::g.7076::m.7076 Gene.7076::TRINITY_DN49792_c0_g1_i1-Cluster-6659.0-9.70394::g.7076 ORF type:5prime_partial len:325 (-) TRINITY_DN49792_c0_g1_i1-Cluster-6659.0-9.70394:55-1029(-),325,0.22153846153846155,Cnem74063 ,94,0.8297872340425532,0.358974358974359,78,6,10,81,0,1,78,2.13344,42.0
Gene.1389::TRINITY_DN50466_c0_g1_i1-Cluster-6664.0-5.28729::g.1389::m.1389 Gene.1389::TRINITY_DN50466_c0_g1_i1-Cluster-6664.0-5.28729::g.1389 ORF type:5prime_partial len:577 (+) TRINITY_DN50466_c0_g1_i1-Cluster-6664.0-5.28729:2-1732(+),577,0.5597920277296361,Cnem101824 ,418,0.777511961722488,0.3696969696969697,330,12,247,569,0,1,325,1.23314e-80,644.0
Gene.24467::TRINITY_DN51518_c0_g1_i2-Cluster-3308.0-53.4438::g.24467::m.24467 Gene.24467::TRINITY_DN51518_c0_g1_i2-Cluster-3308.0-53.4438::g.24467 ORF type:complete len:204 (+) TRINITY_DN51518_c0_g1_i2-Cluster-3308.0-53.4438:46-657(+),204,0.9950980392156863,Cnem450 ,198,1.0,0.6059113300492611,203,5,1,203,0,1,198,3.60483e-84,614.0
Gene.4062::TRINITY_DN52764_c0_g1_i5-Cluster-12136.0-8.43917::g.4062::m.4062 Gene.4062::TRINITY_DN52764_c0_g1_i5-Cluster-12136.0-8.43917::g.4062 ORF type:5prime_partial len:380 (-) TRINITY_DN52764_c0_g1_i5-Cluster-12136.0-8.43917:90-1229(-),380,0.40789473684210525,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.8512820512820513,0.3532934131736527,167,13,224,378,0,28,193,8.17409e-29,258.0
Gene.5270::TRINITY_DN52877_c0_g1_i2-Cluster-10423.0-22.3903::g.5270::m.5270 Gene.5270::TRINITY_DN52877_c0_g1_i2-Cluster-10423.0-22.3903::g.5270 ORF type:complete len:219 (+) TRINITY_DN52877_c0_g1_i2-Cluster-10423.0-22.3903:195-851(+),219,0.6484018264840182,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.959731543624161,0.3706293706293706,143,1,1,142,0,1,143,7.96754e-31,258.0
Gene.20841::TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619::g.20841::m.20841 Gene.20841::TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619::g.20841 ORF type:3prime_partial len:554 (+) TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619:250-1908(+),553,0.5678119349005425,Cnem2858 ,314,0.9936305732484076,0.5111111111111111,315,4,128,441,0,1,312,7.40502e-116,869.0
Gene.20841::TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619::g.20841::m.20841 Gene.20841::TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619::g.20841 ORF type:3prime_partial len:554 (+) TRINITY_DN53551_c0_g2_i2-Cluster-10362.6665-2.59619:250-1908(+),553,0.46473779385171793,Cnem58150 ,262,0.9770992366412213,0.41472868217054265,258,3,53,309,0,1,256,2.92089e-63,511.0
