query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.40375::c14727_g1_i1-Cluster-43.11491-0.00693938::g.40375::m.40375 Gene.40375::c14727_g1_i1-Cluster-43.11491-0.00693938::g.40375 ORF type:5prime_partial len:251 (+) c14727_g1_i1-Cluster-43.11491-0.00693938:3-755(+),251,0.3665338645418327,Cnem943 ,92,1.0,0.5217391304347826,92,0,158,249,0,1,92,2.28156e-33,273.0
Gene.39357::c24610_g1_i1-Cluster-43.5184-1.052::g.39357::m.39357 Gene.39357::c24610_g1_i1-Cluster-43.5184-1.052::g.39357 ORF type:5prime_partial len:116 (-) c24610_g1_i1-Cluster-43.5184-1.052:276-623(-),116,0.7758620689655172,Cnem943 ,92,0.9782608695652174,0.5888888888888889,90,0,18,107,0,1,90,1.91702e-42,320.0
Gene.11072::c26940_g1_i1-Cluster-43.34452-1.07382::g.11072::m.11072 Gene.11072::c26940_g1_i1-Cluster-43.34452-1.07382::g.11072 ORF type:internal len:255 (-) c26940_g1_i1-Cluster-43.34452-1.07382:2-763(-),254,0.9488188976377953,Cnem2858 ,314,0.7643312101910829,0.5371900826446281,242,3,14,254,0,1,240,1.52225e-94,698.0
Gene.41117::c31144_g1_i1-Cluster-43.26781-0.0::g.41117::m.41117 Gene.41117::c31144_g1_i1-Cluster-43.26781-0.0::g.41117 ORF type:5prime_partial len:110 (-) c31144_g1_i1-Cluster-43.26781-0.0:12-341(-),110,0.8363636363636363,Cnem943 ,92,1.0,0.9239130434782609,92,0,18,109,0,1,92,3.73562e-64,462.0
Gene.8279::c32886_g1_i1-Cluster-43.42527-1.24614::g.8279::m.8279 Gene.8279::c32886_g1_i1-Cluster-43.42527-1.24614::g.8279 ORF type:5prime_partial len:131 (-) c32886_g1_i1-Cluster-43.42527-1.24614:119-511(-),131,0.7022900763358778,Cnem943 ,92,1.0,0.75,92,0,39,130,0,1,92,9.84828e-55,403.0
Gene.23346::c34560_g1_i1-Cluster-43.20140-3.61992::g.23346::m.23346 Gene.23346::c34560_g1_i1-Cluster-43.20140-3.61992::g.23346 ORF type:complete len:417 (-) c34560_g1_i1-Cluster-43.20140-3.61992:133-1383(-),417,0.35731414868105515,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.7846153846153846,0.3630573248407643,157,12,267,415,0,41,193,7.74235e-24,224.0
Gene.18746::c34813_g1_i1-Cluster-43.40889-241.964::g.18746::m.18746 Gene.18746::c34813_g1_i1-Cluster-43.40889-241.964::g.18746 ORF type:complete len:200 (-) c34813_g1_i1-Cluster-43.40889-241.964:102-701(-),200,0.995,Cnem450 ,198,1.0,0.6733668341708543,199,1,1,199,0,1,198,8.68809e-95,683.0
Gene.35032::c35659_g1_i1-Cluster-43.14069-50.217::g.35032::m.35032 Gene.35032::c35659_g1_i1-Cluster-43.14069-50.217::g.35032 ORF type:5prime_partial len:263 (-) c35659_g1_i1-Cluster-43.14069-50.217:150-938(-),263,0.44106463878326996,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.785234899328859,0.37606837606837606,117,1,129,244,0,17,133,1.24824e-25,226.0
Gene.23883::c35815_g1_i1-Cluster-43.26275-36.3632::g.23883::m.23883 Gene.23883::c35815_g1_i1-Cluster-43.26275-36.3632::g.23883 ORF type:complete len:285 (-) c35815_g1_i1-Cluster-43.26275-36.3632:262-1116(-),285,0.18947368421052632,Cnem104312 ,73,0.7671232876712328,0.375,56,2,226,279,0,1,56,1.28973e-07,94.0
Gene.31627::c36561_g1_i1-Cluster-43.16964-26.8726::g.31627::m.31627 Gene.31627::c36561_g1_i1-Cluster-43.16964-26.8726::g.31627 ORF type:complete len:150 (+) c36561_g1_i1-Cluster-43.16964-26.8726:54-503(+),150,0.88,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.87248322147651,0.37593984962406013,133,4,12,143,0,11,140,1.40192e-28,237.0
Gene.34657::c3686_g1_i1-Cluster-43.4378-0.374448::g.34657::m.34657 Gene.34657::c3686_g1_i1-Cluster-43.4378-0.374448::g.34657 ORF type:internal len:418 (-) c3686_g1_i1-Cluster-43.4378-0.374448:1-1251(-),417,0.829736211031175,Cnem20360 ,341,0.9706744868035191,0.4297994269340974,349,21,49,394,0,1,331,1.80315e-79,617.0
Gene.34382::c37310_g1_i1-Cluster-43.17365-22.4119::g.34382::m.34382 Gene.34382::c37310_g1_i1-Cluster-43.17365-22.4119::g.34382 ORF type:3prime_partial len:169 (-) c37310_g1_i1-Cluster-43.17365-22.4119:1-504(-),168,0.7023809523809523,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.7986577181208053,0.4117647058823529,119,1,28,145,0,27,145,9.70814e-32,260.0
Gene.2906::c37411_g1_i2-Cluster-43.67001-16.6803::g.2906::m.2906 Gene.2906::c37411_g1_i2-Cluster-43.67001-16.6803::g.2906 ORF type:complete len:186 (+) c37411_g1_i2-Cluster-43.67001-16.6803:119-676(+),186,0.6720430107526881,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8053691275167785,0.40625,128,11,54,178,0,21,140,4.43143e-31,257.0
Gene.10669::c37883_g1_i1-Cluster-43.8790-0.882816::g.10669::m.10669 Gene.10669::c37883_g1_i1-Cluster-43.8790-0.882816::g.10669 ORF type:3prime_partial len:524 (+) c37883_g1_i1-Cluster-43.8790-0.882816:119-1687(+),523,0.4225621414913958,Cnem10584 ,282,0.8475177304964538,0.3551020408163265,245,30,32,252,0,29,267,8.6791e-33,298.0
Gene.14764::c37998_g1_i2-Cluster-43.45662-1.81875::g.14764::m.14764 Gene.14764::c37998_g1_i2-Cluster-43.45662-1.81875::g.14764 ORF type:complete len:289 (-) c37998_g1_i2-Cluster-43.45662-1.81875:64-930(-),289,0.6608996539792388,Cnem1323 ,206,0.9611650485436893,0.4898989898989899,198,7,93,283,0,1,198,8.45458e-71,535.0
Gene.22::c38866_g1_i1-Cluster-43.36527-144.072::g.22::m.22 Gene.22::c38866_g1_i1-Cluster-43.36527-144.072::g.22 ORF type:complete len:199 (+) c38866_g1_i1-Cluster-43.36527-144.072:58-654(+),199,0.6432160804020101,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8187919463087249,0.35877862595419846,131,12,11,138,0,11,132,5.48067e-20,183.0
Gene.26296::c39800_g1_i1-Cluster-43.41106-15.3721::g.26296::m.26296 Gene.26296::c39800_g1_i1-Cluster-43.41106-15.3721::g.26296 ORF type:5prime_partial len:444 (-) c39800_g1_i1-Cluster-43.41106-15.3721:220-1551(-),444,0.38738738738738737,Cnem21112 ,174,0.896551724137931,0.44508670520231214,173,18,227,398,0,2,157,1.33634e-23,221.0
