query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.20621::TRINITY_DN17190_c0_g1_i1-Cluster-6760.26513-170.532::g.20621::m.20621 Gene.20621::TRINITY_DN17190_c0_g1_i1-Cluster-6760.26513-170.532::g.20621 ORF type:complete len:200 (-) TRINITY_DN17190_c0_g1_i1-Cluster-6760.26513-170.532:99-698(-),200,0.975,Cnem450 ,198,0.9848484848484849,0.6205128205128205,195,0,1,195,0,1,195,5.86736e-85,619.0
Gene.5017::TRINITY_DN24639_c0_g1_i1-Cluster-6760.17696-6.46847::g.5017::m.5017 Gene.5017::TRINITY_DN24639_c0_g1_i1-Cluster-6760.17696-6.46847::g.5017 ORF type:complete len:377 (+) TRINITY_DN24639_c0_g1_i1-Cluster-6760.17696-6.46847:83-1213(+),377,0.2440318302387268,Cnem943 ,92,1.0,0.5869565217391305,92,0,285,376,0,1,92,1.66174e-37,309.0
Gene.15019::TRINITY_DN25069_c0_g3_i1-Cluster-6760.26591-13.4736::g.15019::m.15019 Gene.15019::TRINITY_DN25069_c0_g3_i1-Cluster-6760.26591-13.4736::g.15019 ORF type:complete len:139 (+) TRINITY_DN25069_c0_g3_i1-Cluster-6760.26591-13.4736:437-853(+),139,0.9856115107913669,Cnem28994 ,156,0.8782051282051282,0.7445255474452555,137,0,1,137,0,19,155,1.77735e-78,565.0
Gene.19202::TRINITY_DN28708_c1_g1_i1-Cluster-6760.10164-3.91089::g.19202::m.19202 Gene.19202::TRINITY_DN28708_c1_g1_i1-Cluster-6760.10164-3.91089::g.19202 ORF type:3prime_partial len:291 (+) TRINITY_DN28708_c1_g1_i1-Cluster-6760.10164-3.91089:121-990(+),290,0.1896551724137931,Cnem104312 ,73,0.7671232876712328,0.3898305084745763,59,7,229,283,0,1,56,5.07173e-08,97.0
Gene.10904::TRINITY_DN31084_c0_g1_i3-Cluster-6760.11960-11.7639::g.10904::m.10904 Gene.10904::TRINITY_DN31084_c0_g1_i3-Cluster-6760.11960-11.7639::g.10904 ORF type:complete len:549 (+) TRINITY_DN31084_c0_g1_i3-Cluster-6760.11960-11.7639:328-1974(+),549,0.9963570127504554,Cnem7323 ,543,0.998158379373849,0.7249544626593807,549,9,2,548,0,2,543,0.0,2231.0
Gene.8622::TRINITY_DN3155_c0_g2_i1-Cluster-6760.30439-1.60346::g.8622::m.8622 Gene.8622::TRINITY_DN3155_c0_g2_i1-Cluster-6760.30439-1.60346::g.8622 ORF type:5prime_partial len:295 (+) TRINITY_DN3155_c0_g2_i1-Cluster-6760.30439-1.60346:3-887(+),295,0.8271186440677966,Cnem2858 ,314,0.7802547770700637,0.3805668016194332,247,5,25,268,0,2,246,1.13589e-58,464.0
Gene.19575::TRINITY_DN32030_c0_g1_i1-Cluster-6760.12572-43.7543::g.19575::m.19575 Gene.19575::TRINITY_DN32030_c0_g1_i1-Cluster-6760.12572-43.7543::g.19575 ORF type:complete len:150 (-) TRINITY_DN32030_c0_g1_i1-Cluster-6760.12572-43.7543:252-701(-),150,0.78,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.7919463087248322,0.3813559322033898,118,1,16,132,0,16,133,9.37754e-27,225.0
Gene.5195::TRINITY_DN32101_c0_g1_i1-Cluster-6760.8585-13.0894::g.5195::m.5195 Gene.5195::TRINITY_DN32101_c0_g1_i1-Cluster-6760.8585-13.0894::g.5195 ORF type:complete len:419 (+) TRINITY_DN32101_c0_g1_i1-Cluster-6760.8585-13.0894:109-1365(+),419,0.26014319809069214,Cnem943 ,92,1.0,0.3669724770642202,109,17,306,414,0,1,92,6.55241e-20,187.0
Gene.20953::TRINITY_DN33105_c0_g1_i1-Cluster-7660.1-17.1222::g.20953::m.20953 Gene.20953::TRINITY_DN33105_c0_g1_i1-Cluster-7660.1-17.1222::g.20953 ORF type:5prime_partial len:212 (-) TRINITY_DN33105_c0_g1_i1-Cluster-7660.1-17.1222:82-717(-),212,0.5330188679245284,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.785234899328859,0.4444444444444444,117,4,92,204,0,24,140,7.02104e-30,251.0
Gene.2369::TRINITY_DN33602_c0_g1_i4-Cluster-6760.20763-9.20041::g.2369::m.2369 Gene.2369::TRINITY_DN33602_c0_g1_i4-Cluster-6760.20763-9.20041::g.2369 ORF type:complete len:493 (-) TRINITY_DN33602_c0_g1_i4-Cluster-6760.20763-9.20041:254-1732(-),493,0.27586206896551724,Cnem21112 ,174,0.8850574712643678,0.4258064516129032,155,20,310,445,0,4,157,1.94193e-20,198.0
