query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.2016::c20363_g1_i1-Cluster-12102.0-10.9083::g.2016::m.2016 Gene.2016::c20363_g1_i1-Cluster-12102.0-10.9083::g.2016 ORF type:3prime_partial len:346 (+) c20363_g1_i1-Cluster-12102.0-10.9083:371-1405(+),345,0.4115942028985507,Cnem169764 ,185,0.7675675675675676,0.7394366197183099,142,0,69,210,0,44,185,4.17986e-73,554.0
Gene.20003::c35281_g3_i1-Cluster-1148.1-5.29176::g.20003::m.20003 Gene.20003::c35281_g3_i1-Cluster-1148.1-5.29176::g.20003 ORF type:5prime_partial len:259 (+) c35281_g3_i1-Cluster-1148.1-5.29176:1-777(+),259,0.915057915057915,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.8576779026217228,0.42083333333333334,240,14,6,242,0,35,263,1.17411e-59,464.0
Gene.17497::c36384_g1_i2-Cluster-3331.3975-27.0692::g.17497::m.17497 Gene.17497::c36384_g1_i2-Cluster-3331.3975-27.0692::g.17497 ORF type:internal len:185 (-) c36384_g1_i2-Cluster-3331.3975-27.0692:3-554(-),184,0.6956521739130435,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.8657718120805369,0.3798449612403101,129,1,30,157,0,4,132,6.89492e-28,235.0
Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871::m.6871 Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871 ORF type:5prime_partial len:266 (-) c36819_g2_i1-Cluster-3331.5466-5.96966:246-1043(-),266,0.7593984962406015,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.831275720164609,0.5280373831775701,214,24,17,218,0,26,227,1.26546e-72,548.0
Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871::m.6871 Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871 ORF type:5prime_partial len:266 (-) c36819_g2_i1-Cluster-3331.5466-5.96966:246-1043(-),266,0.6879699248120301,Cnem7508 ,241,0.7676348547717843,0.5487179487179488,195,22,22,204,0,29,213,1.14008e-71,542.0
Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871::m.6871 Gene.6871::c36819_g2_i1-Cluster-3331.5466-5.96966::g.6871 ORF type:5prime_partial len:266 (-) c36819_g2_i1-Cluster-3331.5466-5.96966:246-1043(-),266,0.7706766917293233,Lsta_ME_v2_idb_71083 Lstag_sfc_20b ,257,0.8171206225680934,0.47706422018348627,218,21,14,218,0,32,241,4.58405e-66,506.0
Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472::m.28472 Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472 ORF type:5prime_partial len:236 (-) c36819_g2_i2-Cluster-3331.4341-11.106:499-1206(-),236,0.9110169491525424,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.8930041152263375,0.5330396475770925,227,22,17,231,0,26,242,3.13844e-80,596.0
Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472::m.28472 Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472 ORF type:5prime_partial len:236 (-) c36819_g2_i2-Cluster-3331.4341-11.106:499-1206(-),236,0.8898305084745762,Cnem7508 ,241,0.8796680497925311,0.527027027027027,222,22,22,231,0,29,240,8.64268e-79,586.0
Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472::m.28472 Gene.28472::c36819_g2_i2-Cluster-3331.4341-11.106::g.28472 ORF type:5prime_partial len:236 (-) c36819_g2_i2-Cluster-3331.4341-11.106:499-1206(-),236,0.923728813559322,Lsta_ME_v2_idb_71083 Lstag_sfc_20b ,257,0.8754863813229572,0.48484848484848486,231,19,14,231,0,32,256,2.17148e-73,552.0
Gene.10971::c39264_g1_i1-Cluster-3331.7807-11.3134::g.10971::m.10971 Gene.10971::c39264_g1_i1-Cluster-3331.7807-11.3134::g.10971 ORF type:complete len:377 (-) c39264_g1_i1-Cluster-3331.7807-11.3134:1481-2611(-),377,0.2440318302387268,Cnem943 ,92,1.0,0.5978260869565217,92,0,285,376,0,1,92,6.16764e-38,312.0
Gene.14565::c39386_g1_i1-Cluster-15436.0-9.22826::g.14565::m.14565 Gene.14565::c39386_g1_i1-Cluster-15436.0-9.22826::g.14565 ORF type:complete len:368 (-) c39386_g1_i1-Cluster-15436.0-9.22826:90-1193(-),368,0.48641304347826086,Cnem6176 ,235,0.8723404255319149,0.4182692307692308,208,32,185,363,0,27,231,4.32815e-44,366.0
Gene.24700::c39429_g2_i1-Cluster-3331.10513-12.7679::g.24700::m.24700 Gene.24700::c39429_g2_i1-Cluster-3331.10513-12.7679::g.24700 ORF type:complete len:470 (-) c39429_g2_i1-Cluster-3331.10513-12.7679:155-1564(-),470,0.23191489361702128,Cnem2744 ,115,0.9043478260869565,0.3577981651376147,109,5,313,421,0,1,104,6.61367e-14,145.0
Gene.9500::c40888_g1_i1-Cluster-3331.16984-15.1184::g.9500::m.9500 Gene.9500::c40888_g1_i1-Cluster-3331.16984-15.1184::g.9500 ORF type:complete len:427 (+) c40888_g1_i1-Cluster-3331.16984-15.1184:190-1470(+),427,0.21779859484777517,Cnem943 ,92,0.9782608695652174,0.5053763440860215,93,3,333,425,0,2,91,4.89262e-32,274.0
Gene.9520::c41077_g1_i1-Cluster-3331.15869-11.5621::g.9520::m.9520 Gene.9520::c41077_g1_i1-Cluster-3331.15869-11.5621::g.9520 ORF type:5prime_partial len:581 (+) c41077_g1_i1-Cluster-3331.15869-11.5621:1-1743(+),581,0.10327022375215146,Cnem104312 ,73,0.7671232876712328,0.36666666666666664,60,4,252,311,0,1,56,2.50288e-09,109.0
Gene.14795::c41275_g2_i2-Cluster-3331.13937-186.698::g.14795::m.14795 Gene.14795::c41275_g2_i2-Cluster-3331.13937-186.698::g.14795 ORF type:complete len:202 (+) c41275_g2_i2-Cluster-3331.13937-186.698:74-679(+),202,0.9752475247524752,Cnem450 ,198,0.98989898989899,0.5634517766497462,197,1,5,201,0,3,198,1.53952e-79,583.0
Gene.11091::c42144_g1_i1-Cluster-3331.11749-12.7758::g.11091::m.11091 Gene.11091::c42144_g1_i1-Cluster-3331.11749-12.7758::g.11091 ORF type:5prime_partial len:832 (-) c42144_g1_i1-Cluster-3331.11749-12.7758:471-2966(-),832,0.32572115384615385,Cnem2858 ,314,0.8375796178343949,0.3607142857142857,280,26,1,271,0,20,282,1.45019e-50,437.0
