query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.10399::TRINITY_DN17519_c0_g1_i2-Cluster-12112.26526-1.44741::g.10399::m.10399 Gene.10399::TRINITY_DN17519_c0_g1_i2-Cluster-12112.26526-1.44741::g.10399 ORF type:complete len:664 (+) TRINITY_DN17519_c0_g1_i2-Cluster-12112.26526-1.44741:94-2085(+),664,0.08885542168674698,Cnem74063 ,94,0.776595744680851,0.36363636363636365,77,22,400,458,0,22,94,0.243926,52.0
Gene.16537::TRINITY_DN25631_c0_g1_i1-Cluster-5925.0-2.05747::g.16537::m.16537 Gene.16537::TRINITY_DN25631_c0_g1_i1-Cluster-5925.0-2.05747::g.16537 ORF type:5prime_partial len:352 (-) TRINITY_DN25631_c0_g1_i1-Cluster-5925.0-2.05747:76-1131(-),352,0.23295454545454544,Cnem943 ,92,0.8913043478260869,0.3780487804878049,82,0,260,341,0,2,83,2.02735e-18,175.0
Gene.4891::TRINITY_DN26924_c0_g2_i1-Cluster-4753.0-0.831523::g.4891::m.4891 Gene.4891::TRINITY_DN26924_c0_g2_i1-Cluster-4753.0-0.831523::g.4891 ORF type:complete len:270 (+) TRINITY_DN26924_c0_g2_i1-Cluster-4753.0-0.831523:111-920(+),270,0.2074074074074074,Cnem104312 ,73,0.7945205479452054,0.41379310344827586,58,2,177,232,0,2,59,2.27265e-07,92.0
Gene.27148::TRINITY_DN29530_c0_g1_i1-Cluster-12112.719-12.6139::g.27148::m.27148 Gene.27148::TRINITY_DN29530_c0_g1_i1-Cluster-12112.719-12.6139::g.27148 ORF type:complete len:153 (+) TRINITY_DN29530_c0_g1_i1-Cluster-12112.719-12.6139:270-728(+),153,0.9084967320261438,Lsta_ME_v2_Tri_255684 Lstag_sfc_4 ,149,0.9530201342281879,0.352112676056338,142,3,11,149,0,5,146,1.92071e-28,236.0
Gene.4920::TRINITY_DN30748_c0_g1_i1-Cluster-2553.0-2.61687::g.4920::m.4920 Gene.4920::TRINITY_DN30748_c0_g1_i1-Cluster-2553.0-2.61687::g.4920 ORF type:complete len:139 (+) TRINITY_DN30748_c0_g1_i1-Cluster-2553.0-2.61687:131-547(+),139,0.9928057553956835,Cnem28994 ,156,0.8846153846153846,0.7536231884057971,138,0,1,138,0,19,156,9.50956e-78,560.0
Gene.20116::TRINITY_DN36680_c0_g1_i1-Cluster-12112.20823-2.4644::g.20116::m.20116 Gene.20116::TRINITY_DN36680_c0_g1_i1-Cluster-12112.20823-2.4644::g.20116 ORF type:5prime_partial len:327 (+) TRINITY_DN36680_c0_g1_i1-Cluster-12112.20823-2.4644:1-981(+),327,0.3394495412844037,Cnem4282 ,111,1.0,0.5225225225225225,111,0,201,311,0,1,111,1.54201e-41,335.0
Gene.13316::TRINITY_DN37826_c0_g1_i1-Cluster-12112.7703-2.95849::g.13316::m.13316 Gene.13316::TRINITY_DN37826_c0_g1_i1-Cluster-12112.7703-2.95849::g.13316 ORF type:complete len:328 (+) TRINITY_DN37826_c0_g1_i1-Cluster-12112.7703-2.95849:144-1127(+),328,0.43902439024390244,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.7589743589743589,0.3581081081081081,148,4,183,326,0,48,195,1.57388e-22,211.0
Gene.4007::TRINITY_DN38737_c0_g1_i1-Cluster-12112.40602-71.1774::g.4007::m.4007 Gene.4007::TRINITY_DN38737_c0_g1_i1-Cluster-12112.40602-71.1774::g.4007 ORF type:complete len:199 (+) TRINITY_DN38737_c0_g1_i1-Cluster-12112.40602-71.1774:112-708(+),199,0.9949748743718593,Cnem450 ,198,1.0,0.6464646464646465,198,0,1,198,0,1,198,1.47174e-93,675.0
Gene.16018::TRINITY_DN38789_c0_g1_i1-Cluster-12112.36249-416.753::g.16018::m.16018 Gene.16018::TRINITY_DN38789_c0_g1_i1-Cluster-12112.36249-416.753::g.16018 ORF type:5prime_partial len:222 (-) TRINITY_DN38789_c0_g1_i1-Cluster-12112.36249-416.753:150-815(-),222,0.4144144144144144,Cnem943 ,92,1.0,0.967391304347826,92,0,130,221,0,1,92,3.35069e-65,481.0
Gene.1876::TRINITY_DN40133_c0_g1_i1-Cluster-12112.24705-10.2062::g.1876::m.1876 Gene.1876::TRINITY_DN40133_c0_g1_i1-Cluster-12112.24705-10.2062::g.1876 ORF type:5prime_partial len:521 (-) TRINITY_DN40133_c0_g1_i1-Cluster-12112.24705-10.2062:806-2368(-),521,0.9865642994241842,Cnem1237 ,518,0.9980694980694981,0.9110251450676983,517,3,7,520,0,2,518,0.0,2527.0
Gene.23716::TRINITY_DN42062_c0_g2_i2-Cluster-12112.22033-3.09361::g.23716::m.23716 Gene.23716::TRINITY_DN42062_c0_g2_i2-Cluster-12112.22033-3.09361::g.23716 ORF type:complete len:282 (+) TRINITY_DN42062_c0_g2_i2-Cluster-12112.22033-3.09361:84-929(+),282,0.6914893617021277,Cnem1323 ,206,0.9660194174757282,0.5125628140703518,199,4,80,274,0,1,199,2.45598e-82,611.0
Gene.12874::TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778::g.12874::m.12874 Gene.12874::TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778::g.12874 ORF type:3prime_partial len:580 (-) TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778:3-1739(-),579,0.7910189982728842,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.856401384083045,0.4868686868686869,495,37,122,579,0,14,508,3.95469e-148,1110.0
Gene.12874::TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778::g.12874::m.12874 Gene.12874::TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778::g.12874 ORF type:3prime_partial len:580 (-) TRINITY_DN42392_c0_g1_i1-Cluster-12112.18429-10.2778:3-1739(-),579,0.7132987910189983,Cnem572 ,450,0.9022222222222223,0.49759615384615385,416,13,108,520,0,18,423,5.82294e-126,951.0
Gene.7397::TRINITY_DN43331_c0_g2_i1-Cluster-12112.34114-267.709::g.7397::m.7397 Gene.7397::TRINITY_DN43331_c0_g2_i1-Cluster-12112.34114-267.709::g.7397 ORF type:5prime_partial len:616 (-) TRINITY_DN43331_c0_g2_i1-Cluster-12112.34114-267.709:225-2072(-),616,0.275974025974026,Cnem821 ,215,0.7627906976744186,0.38235294117647056,170,6,191,360,0,37,200,2.5767e-36,320.0
Gene.14728::TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245::g.14728::m.14728 Gene.14728::TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245::g.14728 ORF type:complete len:554 (-) TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245:560-2221(-),554,0.8880866425992779,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.8633217993079585,0.5409181636726547,501,11,42,533,0,11,509,2.52032e-179,1315.0
Gene.14728::TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245::g.14728::m.14728 Gene.14728::TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245::g.14728 ORF type:complete len:554 (-) TRINITY_DN44336_c1_g1_i2-Cluster-12112.30571-595.245:560-2221(-),554,0.7707581227436823,Cnem572 ,450,0.94,0.5976744186046512,430,10,42,468,0,13,435,1.29305e-176,1285.0
