query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.12942::c39231_g1_i1-Cluster-16191.1-2.67696::g.12942::m.12942 Gene.12942::c39231_g1_i1-Cluster-16191.1-2.67696::g.12942 ORF type:5prime_partial len:262 (-) c39231_g1_i1-Cluster-16191.1-2.67696:26-811(-),262,0.7709923664122137,Cnem1323 ,206,0.970873786407767,0.41089108910891087,202,2,60,261,0,3,202,4.25067e-62,475.0
Gene.17681::c39358_g1_i1-Cluster-5283.0-2.7938::g.17681::m.17681 Gene.17681::c39358_g1_i1-Cluster-5283.0-2.7938::g.17681 ORF type:internal len:150 (-) c39358_g1_i1-Cluster-5283.0-2.7938:2-448(-),149,0.8523489932885906,Cnem28994 ,156,0.8141025641025641,0.7874015748031497,127,0,22,148,0,23,149,7.17325e-76,549.0
Gene.11823::c40004_g1_i2-Cluster-708.0-9.05711::g.11823::m.11823 Gene.11823::c40004_g1_i2-Cluster-708.0-9.05711::g.11823 ORF type:complete len:424 (-) c40004_g1_i2-Cluster-708.0-9.05711:308-1579(-),424,0.21933962264150944,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,330,422,0,2,91,6.89459e-32,272.0
Gene.18002::c40315_g1_i1-Cluster-10945.0-4.54547::g.18002::m.18002 Gene.18002::c40315_g1_i1-Cluster-10945.0-4.54547::g.18002 ORF type:5prime_partial len:121 (+) c40315_g1_i1-Cluster-10945.0-4.54547:3-365(+),121,0.7933884297520661,Cnem943 ,92,1.0,0.5208333333333334,96,4,25,120,0,1,92,2.5206e-35,274.0
Gene.35152::c46270_g2_i1-Cluster-12191.1640-3.34662::g.35152::m.35152 Gene.35152::c46270_g2_i1-Cluster-12191.1640-3.34662::g.35152 ORF type:internal len:251 (+) c46270_g2_i1-Cluster-12191.1640-3.34662:2-751(+),250,0.94,Cnem58150 ,262,0.8931297709923665,0.3771186440677966,236,3,16,250,0,1,234,1.14869e-56,443.0
Gene.3::c49565_g1_i1-Cluster-12191.15123-5.99368::g.3::m.3 Gene.3::c49565_g1_i1-Cluster-12191.15123-5.99368::g.3 ORF type:5prime_partial len:699 (-) c49565_g1_i1-Cluster-12191.15123-5.99368:137-2233(-),699,0.7525035765379113,Lsta_ME_v2_CLC_241 Lstag_sfc_5 ,645,0.875968992248062,0.3546712802768166,578,65,67,592,0,62,626,5.06245e-98,789.0
Gene.4621::c50938_g1_i1-Cluster-12191.19096-13.2893::g.4621::m.4621 Gene.4621::c50938_g1_i1-Cluster-12191.19096-13.2893::g.4621 ORF type:5prime_partial len:526 (+) c50938_g1_i1-Cluster-12191.19096-13.2893:1-1578(+),526,0.9828897338403042,Cnem1237 ,518,0.9961389961389961,0.9206963249516441,517,1,9,525,0,3,518,0.0,2547.0
Gene.31897::c51175_g1_i1-Cluster-4693.1-5.81451::g.31897::m.31897 Gene.31897::c51175_g1_i1-Cluster-4693.1-5.81451::g.31897 ORF type:complete len:219 (+) c51175_g1_i1-Cluster-4693.1-5.81451:1-657(+),219,0.7534246575342466,Cnem450 ,198,0.7575757575757576,0.45454545454545453,165,15,53,217,0,49,198,5.09949e-46,363.0
Gene.14388::c51209_g1_i1-Cluster-12191.18400-4.10468::g.14388::m.14388 Gene.14388::c51209_g1_i1-Cluster-12191.18400-4.10468::g.14388 ORF type:5prime_partial len:423 (+) c51209_g1_i1-Cluster-12191.18400-4.10468:3-1271(+),423,0.34988179669030733,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.7538461538461538,0.35947712418300654,153,11,260,407,0,32,178,1.01219e-17,179.0
Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152::m.10152 Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152 ORF type:complete len:645 (+) c51445_g1_i1-Cluster-12191.21115-24.6459:145-2079(+),645,0.40930232558139534,Cnem58150 ,262,0.9961832061068703,0.5,264,3,53,316,0,1,261,1.49308e-91,708.0
Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152::m.10152 Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152 ORF type:complete len:645 (+) c51445_g1_i1-Cluster-12191.21115-24.6459:145-2079(+),645,0.44651162790697674,Cnem2858 ,314,0.8980891719745223,0.3806228373702422,289,8,132,419,0,2,283,1.40843e-62,516.0
Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152::m.10152 Gene.10152::c51445_g1_i1-Cluster-12191.21115-24.6459::g.10152 ORF type:complete len:645 (+) c51445_g1_i1-Cluster-12191.21115-24.6459:145-2079(+),645,0.15348837209302327,Cnem2108 ,128,0.84375,0.46296296296296297,108,9,348,446,0,1,108,1.78721e-26,241.0
Gene.28083::c52601_g1_i1-Cluster-12191.11917-10.2785::g.28083::m.28083 Gene.28083::c52601_g1_i1-Cluster-12191.11917-10.2785::g.28083 ORF type:complete len:355 (-) c52601_g1_i1-Cluster-12191.11917-10.2785:19-1083(-),355,0.4563380281690141,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.841025641025641,0.3515151515151515,165,4,191,352,0,30,193,3.20887e-28,253.0
Gene.9222::c52788_g1_i1-Cluster-1299.0-5.64864::g.9222::m.9222 Gene.9222::c52788_g1_i1-Cluster-1299.0-5.64864::g.9222 ORF type:3prime_partial len:502 (+) c52788_g1_i1-Cluster-1299.0-5.64864:97-1599(+),501,0.6107784431137725,Cnem2858 ,314,0.9681528662420382,0.5751633986928104,306,2,172,477,0,1,304,7.48564e-135,990.0
Gene.9222::c52788_g1_i1-Cluster-1299.0-5.64864::g.9222::m.9222 Gene.9222::c52788_g1_i1-Cluster-1299.0-5.64864::g.9222 ORF type:3prime_partial len:502 (+) c52788_g1_i1-Cluster-1299.0-5.64864:97-1599(+),501,0.5289421157684631,Cnem58150 ,262,0.9961832061068703,0.37218045112781956,266,6,97,361,0,1,261,7.79497e-59,477.0
Gene.6228::c53125_g1_i2-Cluster-16415.1-6.62749::g.6228::m.6228 Gene.6228::c53125_g1_i2-Cluster-16415.1-6.62749::g.6228 ORF type:complete len:407 (-) c53125_g1_i2-Cluster-16415.1-6.62749:190-1410(-),407,0.6142506142506142,Cnem58150 ,262,0.9656488549618321,0.4448818897637795,254,5,48,297,0,1,253,1.86474e-65,515.0
Gene.6228::c53125_g1_i2-Cluster-16415.1-6.62749::g.6228::m.6228 Gene.6228::c53125_g1_i2-Cluster-16415.1-6.62749::g.6228 ORF type:complete len:407 (-) c53125_g1_i2-Cluster-16415.1-6.62749:190-1410(-),407,0.6412776412776413,Cnem2858 ,314,0.8407643312101911,0.3849056603773585,265,5,125,385,0,2,265,2.28986e-64,512.0
Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007::m.32007 Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007 ORF type:complete len:298 (+) c53736_g1_i2-Cluster-12191.17416-68.2284:327-1220(+),298,0.6677852348993288,Cnem7508 ,241,0.8630705394190872,0.5639810426540285,211,15,55,253,0,29,236,1.02835e-78,592.0
Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007::m.32007 Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007 ORF type:complete len:298 (+) c53736_g1_i2-Cluster-12191.17416-68.2284:327-1220(+),298,0.6677852348993288,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.8559670781893004,0.5402843601895735,211,15,55,253,0,31,238,1.10069e-76,578.0
Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007::m.32007 Gene.32007::c53736_g1_i2-Cluster-12191.17416-68.2284::g.32007 ORF type:complete len:298 (+) c53736_g1_i2-Cluster-12191.17416-68.2284:327-1220(+),298,0.6812080536912751,Lsta_ME_v2_idb_71083 Lstag_sfc_20b ,257,0.8443579766536965,0.4863636363636364,220,20,51,253,0,36,252,2.38163e-67,518.0
Gene.31247::c57016_g1_i3-Cluster-12191.21694-13.0835::g.31247::m.31247 Gene.31247::c57016_g1_i3-Cluster-12191.21694-13.0835::g.31247 ORF type:complete len:265 (+) c57016_g1_i3-Cluster-12191.21694-13.0835:107-901(+),265,0.23018867924528302,Cnem104312 ,73,0.821917808219178,0.36065573770491804,61,1,199,259,0,1,60,4.88847e-09,104.0
Gene.2510::c57174_g4_i1-Cluster-12191.24964-81.1792::g.2510::m.2510 Gene.2510::c57174_g4_i1-Cluster-12191.24964-81.1792::g.2510 ORF type:complete len:338 (-) c57174_g4_i1-Cluster-12191.24964-81.1792:129-1142(-),338,0.15976331360946747,Cnem104312 ,73,0.7534246575342466,0.35714285714285715,56,3,245,298,0,1,55,8.00749e-06,81.0
