query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.3190::TRINITY_DN13788_c0_g1_i1-Cluster-83.0-1.19816::g.3190::m.3190 Gene.3190::TRINITY_DN13788_c0_g1_i1-Cluster-83.0-1.19816::g.3190 ORF type:internal len:330 (-) TRINITY_DN13788_c0_g1_i1-Cluster-83.0-1.19816:2-988(-),329,0.7720364741641338,Cnem58150 ,262,0.9618320610687023,0.5236220472440944,254,2,49,302,0,1,252,4.35065e-93,692.0
Gene.13786::TRINITY_DN19596_c0_g1_i1-Cluster-9785.0-3.20966::g.13786::m.13786 Gene.13786::TRINITY_DN19596_c0_g1_i1-Cluster-9785.0-3.20966::g.13786 ORF type:internal len:291 (-) TRINITY_DN19596_c0_g1_i1-Cluster-9785.0-3.20966:1-870(-),290,0.38275862068965516,Cnem4282 ,111,1.0,0.5225225225225225,111,0,123,233,0,1,111,1.21049e-43,346.0
Gene.15374::TRINITY_DN22476_c0_g1_i1-Cluster-2612.1-2.15626::g.15374::m.15374 Gene.15374::TRINITY_DN22476_c0_g1_i1-Cluster-2612.1-2.15626::g.15374 ORF type:5prime_partial len:114 (-) TRINITY_DN22476_c0_g1_i1-Cluster-2612.1-2.15626:247-588(-),114,0.8157894736842105,Cnem943 ,92,1.0,0.5913978494623656,93,1,21,113,0,1,92,2.10595e-40,307.0
Gene.5415::TRINITY_DN24908_c0_g2_i1-Cluster-2507.0-4.56082::g.5415::m.5415 Gene.5415::TRINITY_DN24908_c0_g2_i1-Cluster-2507.0-4.56082::g.5415 ORF type:complete len:529 (+) TRINITY_DN24908_c0_g2_i1-Cluster-2507.0-4.56082:118-1704(+),529,0.3667296786389414,Cnem1323 ,206,0.9757281553398058,0.35467980295566504,203,11,335,528,0,3,203,5.70446e-40,343.0
Gene.11198::TRINITY_DN27579_c1_g1_i1-Cluster-9862.0-5.38811::g.11198::m.11198 Gene.11198::TRINITY_DN27579_c1_g1_i1-Cluster-9862.0-5.38811::g.11198 ORF type:5prime_partial len:203 (+) TRINITY_DN27579_c1_g1_i1-Cluster-9862.0-5.38811:2-610(+),203,0.9901477832512315,Cnem6176 ,235,0.851063829787234,0.4803921568627451,204,7,1,201,0,35,234,5.13728e-65,491.0
Gene.8988::TRINITY_DN29021_c0_g1_i1-Cluster-9284.13674-139.772::g.8988::m.8988 Gene.8988::TRINITY_DN29021_c0_g1_i1-Cluster-9284.13674-139.772::g.8988 ORF type:5prime_partial len:132 (+) TRINITY_DN29021_c0_g1_i1-Cluster-9284.13674-139.772:1-396(+),132,0.5833333333333334,Cnem1504 ,77,0.961038961038961,0.375,80,9,51,127,0,1,74,0.0500709,50.0
Gene.10002::TRINITY_DN29226_c0_g1_i1-Cluster-9284.4579-6.57196::g.10002::m.10002 Gene.10002::TRINITY_DN29226_c0_g1_i1-Cluster-9284.4579-6.57196::g.10002 ORF type:5prime_partial len:362 (+) TRINITY_DN29226_c0_g1_i1-Cluster-9284.4579-6.57196:3-1088(+),362,0.994475138121547,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.8669527896995708,0.35365853658536583,410,56,1,360,0,56,459,2.39605e-70,560.0
Gene.192::TRINITY_DN29497_c0_g1_i1-Cluster-9284.10231-5.21424::g.192::m.192 Gene.192::TRINITY_DN29497_c0_g1_i1-Cluster-9284.10231-5.21424::g.192 ORF type:internal len:741 (-) TRINITY_DN29497_c0_g1_i1-Cluster-9284.10231-5.21424:3-2222(-),740,0.5094594594594595,Cnem572 ,450,0.8377777777777777,0.41114058355437666,377,0,65,441,0,48,424,1.90064e-89,718.0
Gene.574::TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661::g.574::m.574 Gene.574::TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661::g.574 ORF type:complete len:641 (+) TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661:239-2161(+),641,0.9235569422776911,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.9826989619377162,0.5118243243243243,592,24,48,639,0,9,576,0.0,1480.0
Gene.574::TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661::g.574::m.574 Gene.574::TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661::g.574 ORF type:complete len:641 (+) TRINITY_DN29924_c0_g1_i1-Cluster-9284.13481-99.7661:239-2161(+),641,0.6755070202808112,Cnem572 ,450,0.9577777777777777,0.5727482678983834,433,2,51,483,0,14,444,2.1606e-164,1212.0
Gene.3698::TRINITY_DN30333_c0_g1_i2-Cluster-9284.19201-12.8779::g.3698::m.3698 Gene.3698::TRINITY_DN30333_c0_g1_i2-Cluster-9284.19201-12.8779::g.3698 ORF type:complete len:428 (+) TRINITY_DN30333_c0_g1_i2-Cluster-9284.19201-12.8779:176-1459(+),428,0.21728971962616822,Cnem943 ,92,0.9782608695652174,0.5161290322580645,93,3,334,426,0,2,91,1.22233e-32,278.0
Gene.9080::TRINITY_DN31302_c0_g1_i1-Cluster-9284.4433-28.2177::g.9080::m.9080 Gene.9080::TRINITY_DN31302_c0_g1_i1-Cluster-9284.4433-28.2177::g.9080 ORF type:complete len:419 (+) TRINITY_DN31302_c0_g1_i1-Cluster-9284.4433-28.2177:121-1377(+),419,0.26014319809069214,Cnem943 ,92,1.0,0.3761467889908257,109,17,306,414,0,1,92,1.20708e-20,192.0
Gene.3890::TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949::g.3890::m.3890 Gene.3890::TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949::g.3890 ORF type:complete len:260 (-) TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949:512-1291(-),260,0.7038461538461539,Cnem7508 ,241,0.7883817427385892,0.5692307692307692,195,17,55,237,0,26,215,3.59548e-72,545.0
Gene.3890::TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949::g.3890::m.3890 Gene.3890::TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949::g.3890 ORF type:complete len:260 (-) TRINITY_DN33732_c0_g1_i1-Cluster-9284.11816-9.06949:512-1291(-),260,0.6923076923076923,Lsta_ME_v2_idb_71081 Lstag_sfc_20a ,243,0.7695473251028807,0.5364583333333334,192,17,58,237,0,31,217,5.44968e-69,524.0
Gene.9926::TRINITY_DN33859_c0_g1_i1-Cluster-9284.13190-6.87193::g.9926::m.9926 Gene.9926::TRINITY_DN33859_c0_g1_i1-Cluster-9284.13190-6.87193::g.9926 ORF type:complete len:284 (-) TRINITY_DN33859_c0_g1_i1-Cluster-9284.13190-6.87193:813-1664(-),284,0.9436619718309859,Lsta_ME_v2_idb_32853 Lstag_sfc_18 ,267,0.9887640449438202,0.42066420664206644,271,10,1,268,0,1,264,2.33995e-64,497.0
Gene.15696::TRINITY_DN33878_c0_g1_i2-Cluster-9284.10753-136.802::g.15696::m.15696 Gene.15696::TRINITY_DN33878_c0_g1_i2-Cluster-9284.10753-136.802::g.15696 ORF type:5prime_partial len:727 (+) TRINITY_DN33878_c0_g1_i2-Cluster-9284.10753-136.802:1-2181(+),727,0.23383768913342504,Cnem821 ,215,0.7627906976744186,0.4425287356321839,174,14,290,459,0,37,200,1.03946e-41,362.0
Gene.12015::TRINITY_DN34431_c0_g1_i1-Cluster-9284.20030-25.0939::g.12015::m.12015 Gene.12015::TRINITY_DN34431_c0_g1_i1-Cluster-9284.20030-25.0939::g.12015 ORF type:complete len:363 (+) TRINITY_DN34431_c0_g1_i1-Cluster-9284.20030-25.0939:308-1396(+),363,0.24517906336088155,Cnem943 ,92,0.967391304347826,0.5168539325842697,89,0,273,361,0,1,89,1.00841e-29,255.0
Gene.8120::TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704::g.8120::m.8120 Gene.8120::TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704::g.8120 ORF type:3prime_partial len:596 (+) TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704:126-1910(+),595,0.8252100840336134,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.8546712802768166,0.4940239043824701,502,19,65,555,0,7,500,1.33861e-165,1228.0
Gene.8120::TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704::g.8120::m.8120 Gene.8120::TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704::g.8120 ORF type:3prime_partial len:596 (+) TRINITY_DN35002_c2_g1_i3-Cluster-9284.11465-335.704:126-1910(+),595,0.7277310924369748,Cnem572 ,450,0.94,0.5519630484988453,433,10,69,501,0,13,435,1.34167e-164,1209.0
Gene.7225::TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306::g.7225::m.7225 Gene.7225::TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306::g.7225 ORF type:internal len:558 (+) TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306:1-1671(+),557,0.9694793536804309,Lsta_ME_v2_Tri_206671 Lstag_sfc_32 ,578,0.9204152249134948,0.45018450184501846,542,12,15,554,0,4,535,3.36927e-158,1175.0
Gene.7225::TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306::g.7225::m.7225 Gene.7225::TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306::g.7225 ORF type:internal len:558 (+) TRINITY_DN35002_c2_g1_i7-Cluster-9284.12438-798.306:1-1671(+),557,0.7594254937163375,Cnem572 ,450,0.9288888888888889,0.5390070921985816,423,5,22,444,0,13,430,2.81098e-155,1144.0
Gene.16924::TRINITY_DN35340_c0_g1_i1-Cluster-9284.15112-45.5342::g.16924::m.16924 Gene.16924::TRINITY_DN35340_c0_g1_i1-Cluster-9284.15112-45.5342::g.16924 ORF type:complete len:395 (+) TRINITY_DN35340_c0_g1_i1-Cluster-9284.15112-45.5342:104-1288(+),395,0.23544303797468355,Cnem943 ,92,0.8804347826086957,0.41935483870967744,93,12,290,382,0,3,83,1.12172e-21,199.0
Gene.15089::TRINITY_DN35507_c0_g1_i1-Cluster-9284.17447-17.9201::g.15089::m.15089 Gene.15089::TRINITY_DN35507_c0_g1_i1-Cluster-9284.17447-17.9201::g.15089 ORF type:5prime_partial len:415 (+) TRINITY_DN35507_c0_g1_i1-Cluster-9284.17447-17.9201:1-1245(+),415,0.9253012048192771,Lsta_ME_v2_idb_53476 Lstag_sfc_33 ,466,0.9012875536480687,0.36682242990654207,428,52,31,414,0,38,457,3.9318e-88,685.0
Gene.15272::TRINITY_DN35926_c6_g1_i1-Cluster-9284.18486-145.167::g.15272::m.15272 Gene.15272::TRINITY_DN35926_c6_g1_i1-Cluster-9284.18486-145.167::g.15272 ORF type:5prime_partial len:291 (+) TRINITY_DN35926_c6_g1_i1-Cluster-9284.18486-145.167:2-874(+),291,0.3161512027491409,Cnem943 ,92,1.0,0.967391304347826,92,0,199,290,0,1,92,7.18605e-64,479.0
Gene.8643::TRINITY_DN41436_c0_g1_i1-Cluster-2329.0-2.00345::g.8643::m.8643 Gene.8643::TRINITY_DN41436_c0_g1_i1-Cluster-2329.0-2.00345::g.8643 ORF type:5prime_partial len:201 (+) TRINITY_DN41436_c0_g1_i1-Cluster-2329.0-2.00345:2-604(+),201,0.263681592039801,Cnem104312 ,73,0.7534246575342466,0.38181818181818183,55,2,111,163,0,1,55,8.53571e-06,79.0
