query_info, query_length, query_coverage, subject_def, subject_length, subject_coverage, identity, align_length, gaps, query_start, query_end, query_frame, subject_start, subject_end, expect, score
Gene.3488::TRINITY_DN37013_c0_g1_i1-Cluster-7291.0-14.7859::g.3488::m.3488 Gene.3488::TRINITY_DN37013_c0_g1_i1-Cluster-7291.0-14.7859::g.3488 ORF type:5prime_partial len:116 (-) TRINITY_DN37013_c0_g1_i1-Cluster-7291.0-14.7859:243-590(-),116,0.75,Cnem1504 ,77,1.0,0.3563218390804598,87,10,28,114,0,1,77,1.59521e-08,95.0
Gene.13613::TRINITY_DN37866_c0_g2_i1-Cluster-10741.0-3.33609::g.13613::m.13613 Gene.13613::TRINITY_DN37866_c0_g2_i1-Cluster-10741.0-3.33609::g.13613 ORF type:5prime_partial len:192 (+) TRINITY_DN37866_c0_g2_i1-Cluster-10741.0-3.33609:3-578(+),192,0.96875,Cnem6176 ,235,0.7617021276595745,0.5,188,11,1,186,0,53,231,7.7235e-58,442.0
Gene.10275::TRINITY_DN42590_c0_g1_i1-Cluster-1996.9499-661.448::g.10275::m.10275 Gene.10275::TRINITY_DN42590_c0_g1_i1-Cluster-1996.9499-661.448::g.10275 ORF type:complete len:377 (-) TRINITY_DN42590_c0_g1_i1-Cluster-1996.9499-661.448:345-1475(-),377,0.2440318302387268,Cnem943 ,92,1.0,0.9239130434782609,92,0,285,376,0,1,92,1.40816e-61,471.0
Gene.3480::TRINITY_DN43601_c0_g1_i1-Cluster-1996.15681-310.701::g.3480::m.3480 Gene.3480::TRINITY_DN43601_c0_g1_i1-Cluster-1996.15681-310.701::g.3480 ORF type:complete len:191 (+) TRINITY_DN43601_c0_g1_i1-Cluster-1996.15681-310.701:192-764(+),191,0.32460732984293195,Cnem1504 ,77,0.7922077922077922,0.3548387096774194,62,1,55,116,0,13,73,0.58178,44.0
Gene.1850::TRINITY_DN44093_c0_g1_i1-Cluster-1996.15349-13.8652::g.1850::m.1850 Gene.1850::TRINITY_DN44093_c0_g1_i1-Cluster-1996.15349-13.8652::g.1850 ORF type:complete len:340 (+) TRINITY_DN44093_c0_g1_i1-Cluster-1996.15349-13.8652:90-1109(+),340,0.45,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.7846153846153846,0.3522012578616352,159,12,185,337,0,41,193,2.78451e-25,231.0
Gene.14758::TRINITY_DN44484_c0_g1_i1-Cluster-1996.18241-5.37684::g.14758::m.14758 Gene.14758::TRINITY_DN44484_c0_g1_i1-Cluster-1996.18241-5.37684::g.14758 ORF type:internal len:361 (-) TRINITY_DN44484_c0_g1_i1-Cluster-1996.18241-5.37684:1-1080(-),360,0.41388888888888886,Lsta_ME_v2_idb_42787 Lstag_sfc_19 ,195,0.7897435897435897,0.3782051282051282,156,9,211,359,0,40,193,2.51211e-30,267.0
Gene.1881::TRINITY_DN44886_c0_g1_i2-Cluster-9364.0-12.9127::g.1881::m.1881 Gene.1881::TRINITY_DN44886_c0_g1_i2-Cluster-9364.0-12.9127::g.1881 ORF type:complete len:425 (+) TRINITY_DN44886_c0_g1_i2-Cluster-9364.0-12.9127:307-1581(+),425,0.2188235294117647,Cnem943 ,92,0.9782608695652174,0.5268817204301075,93,3,331,423,0,2,91,7.16882e-33,279.0
Gene.7271::TRINITY_DN44950_c0_g1_i1-Cluster-1996.19976-12.4437::g.7271::m.7271 Gene.7271::TRINITY_DN44950_c0_g1_i1-Cluster-1996.19976-12.4437::g.7271 ORF type:complete len:116 (-) TRINITY_DN44950_c0_g1_i1-Cluster-1996.19976-12.4437:163-510(-),116,0.7844827586206896,Cnem943 ,92,0.9891304347826086,0.6263736263736264,91,0,25,115,0,2,92,2.19796e-46,346.0
Gene.8231::TRINITY_DN45010_c0_g1_i1-Cluster-1996.5204-8.72249::g.8231::m.8231 Gene.8231::TRINITY_DN45010_c0_g1_i1-Cluster-1996.5204-8.72249::g.8231 ORF type:5prime_partial len:617 (+) TRINITY_DN45010_c0_g1_i1-Cluster-1996.5204-8.72249:3-1853(+),617,0.593192868719611,Cnem101824 ,418,0.7822966507177034,0.3797814207650273,366,39,247,612,0,1,327,1.56251e-75,612.0
Gene.9398::TRINITY_DN45593_c0_g1_i1-Cluster-1996.13207-587.747::g.9398::m.9398 Gene.9398::TRINITY_DN45593_c0_g1_i1-Cluster-1996.13207-587.747::g.9398 ORF type:complete len:441 (+) TRINITY_DN45593_c0_g1_i1-Cluster-1996.13207-587.747:286-1608(+),441,0.9342403628117913,Lsta_ME_v2_idb_97925 Lstag_sfc_21 ,442,0.9411764705882353,0.5035799522673031,419,10,29,440,0,27,442,3.82181e-150,1097.0
